PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	split_mean_KL	cor_entropy_iwcn
1B4T	A	0.271864567477	3.62347196064	0.552814063176	0.139015940324	0.651339627741
1CI0	A	0.286064887526	4.10645350892	0.475358105936	0.223908877684	0.534534152597
1EFV	B	0.30072727118	2.64064425529	0.177294761278	0.139134670274	0.209494781978
1G58	B	0.240971720328	3.3890122991	0.27215281954	0.111218024423	0.3416134326
1GV3	A	0.234670622191	3.59221774906	0.428085453371	0.168000158927	0.442666414664
1HUJ	A	0.229433926429	3.50943010003	0.516921206609	0.291701903199	0.545927563467
1HUR	A	0.257334788616	3.21812445265	0.374459478643	0.179292679699	0.433443339948
1IBS	A	0.23927975617	3.69408890841	0.207636762672	0.0917111249328	0.250535785317
1JLW	A	0.252546244352	2.85200869542	0.282870923905	0.229669031239	0.255483866436
1KY2	A	0.277746549113	3.28524958773	0.470962068668	0.284700371813	0.521147394937
1KZL	A	0.272263998943	3.95570063907	0.406626233136	0.276584379818	0.508109015625
1M3U	A	0.216935327278	3.49461215239	0.485576224308	0.181762591668	0.561741707069
1MOZ	A	0.24925475052	3.24230631437	0.32933068055	0.211760079424	0.390742192732
1OKC	A	0.273555885293	2.84833371031	0.540295785157	0.183276527306	0.62455741113
1PV1	A	0.214651335954	3.85604478671	0.561152543471	0.180571621693	0.633126531768
1QMV	A	0.267037249942	3.05238185292	0.417660383066	0.122083699576	0.414240322402
1R6M	A	0.251870117166	3.66977111811	0.441566988786	0.086456461843	0.504661514243
1RII	A	0.238112161049	3.64143793171	0.493141185356	0.122982900653	0.528726504428
1V9S	B	0.291048527792	3.45201199299	0.200218173049	0.114416407127	0.293838669748
1W7W	B	0.28605603807	3.39337656672	0.417600918031	0.125827567812	0.5360423903
1X1O	B	0.259761605593	4.19318882544	0.3109787673	0.171159489872	0.432801127652
1XTD	A	0.359417870806	2.74365075628	-0.0774962657714	0.167698810751	-0.0666452347382
1YPI	A	0.249239643811	3.7358956297	0.364492460287	0.146564178353	0.523172783788
1YSB	A	0.244461153636	3.01897902706	0.400141120746	0.28314481971	0.448268223238
1ZNN	A	0.24831884401	2.75850401503	0.426050661972	0.143679647665	0.59080573121
1ZWK	A	0.260574665389	3.10495079883	0.308712828351	0.160261887908	0.382704598908
2A84	A	0.263706110583	4.30585443758	0.334091048329	0.210799201836	0.478395133321
2AIU	A	0.311907544476	2.73466671652	0.361455008127	0.19676631016	0.50229139027
2BCG	Y	0.294191626365	4.28740740892	0.421255273773	0.21507362855	0.521287590604
2BR9	A	0.268165763329	3.16816956907	0.384899079943	0.17575247341	0.478938966802
2CFE	A	0.243569700844	3.16488260045	0.482830871694	0.0812653334794	0.586344578944
2CJM	C	0.253074315573	3.56537974498	0.432510755873	0.20663368494	0.482355080211
2CNV	A	0.252445096167	3.95132394823	0.458758845418	0.182020360192	0.616631085522
2ESF	A	0.286815097759	4.00369850675	0.357540292694	0.207503681226	0.464529900444
2EU8	A	0.266040799893	3.35554221015	0.58246235361	0.182321592905	0.667919953682
2FLI	A	0.231035159097	3.86209136187	0.366816310037	0.101996672836	0.564034526913
2G0N	B	0.263307149214	3.54915799297	0.472471561103	0.173165432954	0.551362881973
2GV5	D	0.367905374418	3.05831795862	0.318385379979	0.224192919047	0.454618192176
