PDB,Rosetta Score
1EFV_B_1,-482.92988705
1EFV_B_10,-482.355547053
1EFV_B_100,-482.905296026
1EFV_B_101,-482.579333738
1EFV_B_102,-481.782330925
1EFV_B_103,-483.641940508
1EFV_B_104,-482.419022265
1EFV_B_105,-483.702109696
1EFV_B_106,-482.455573174
1EFV_B_107,-481.382130519
1EFV_B_108,-481.963415723
1EFV_B_109,-482.555019594
1EFV_B_11,-482.123191589
1EFV_B_110,-480.894640071
1EFV_B_111,-482.814503758
1EFV_B_112,-481.92790951
1EFV_B_113,-482.453886255
1EFV_B_114,-483.167448339
1EFV_B_115,-482.089807949
1EFV_B_116,-482.619591538
1EFV_B_117,-481.663394386
1EFV_B_118,-482.277321834
1EFV_B_119,-482.915427164
1EFV_B_12,-483.263892109
1EFV_B_120,-482.147885293
1EFV_B_121,-482.887392995
1EFV_B_122,-482.003335378
1EFV_B_123,-481.262628714
1EFV_B_124,-482.171177497
1EFV_B_125,-483.120828032
1EFV_B_126,-482.020578598
1EFV_B_127,-482.894272252
1EFV_B_128,-482.635652688
1EFV_B_129,-481.591761543
1EFV_B_13,-482.347022795
1EFV_B_130,-481.087886002
1EFV_B_131,-482.532337228
1EFV_B_132,-482.129321184
1EFV_B_133,-481.405107973
1EFV_B_134,-482.792631317
1EFV_B_135,-482.035813096
1EFV_B_136,-482.21279825
1EFV_B_137,-482.294496191
1EFV_B_138,-482.629585864
1EFV_B_139,-483.017618946
1EFV_B_14,-482.265250382
1EFV_B_140,-482.680632512
1EFV_B_141,-482.473690662
1EFV_B_142,-481.728224515
1EFV_B_143,-482.48174519
1EFV_B_144,-482.464181859
1EFV_B_145,-481.927236417
1EFV_B_146,-482.39739028
1EFV_B_147,-482.132255585
1EFV_B_148,-481.771869125
1EFV_B_149,-481.399873253
1EFV_B_15,-482.501476044
1EFV_B_150,-482.507668848
1EFV_B_151,-481.755942035
1EFV_B_152,-482.056888208
1EFV_B_153,-483.345974941
1EFV_B_154,-482.887140874
1EFV_B_155,-483.018565764
1EFV_B_156,-481.810686656
1EFV_B_157,-483.403742318
1EFV_B_158,-482.074981487
1EFV_B_159,-482.770350738
1EFV_B_16,-483.959924554
1EFV_B_160,-482.183517648
1EFV_B_161,-482.411858117
1EFV_B_162,-482.057340846
1EFV_B_163,-482.169483818
1EFV_B_164,-482.278994186
1EFV_B_165,-482.027257415
1EFV_B_166,-482.525170867
1EFV_B_167,-482.487858694
1EFV_B_168,-483.477051406
1EFV_B_169,-482.268007574
1EFV_B_17,-482.558397052
1EFV_B_170,-482.712535324
1EFV_B_171,-482.429993713
1EFV_B_172,-482.746935081
1EFV_B_173,-482.05907039
1EFV_B_174,-482.578206526
1EFV_B_175,-481.676838261
1EFV_B_176,-483.458183886
1EFV_B_177,-482.444807739
1EFV_B_178,-483.115369944
1EFV_B_179,-482.479196531
1EFV_B_18,-481.726850804
1EFV_B_180,-482.573824998
1EFV_B_181,-482.259791962
1EFV_B_182,-483.399898608
1EFV_B_183,-482.12426971
1EFV_B_184,-481.769747964
1EFV_B_185,-481.963402906
1EFV_B_186,-482.781157165
1EFV_B_187,-483.432709673
1EFV_B_188,-482.184212859
1EFV_B_189,-481.766283899
1EFV_B_19,-482.17341338
1EFV_B_190,-482.381959456
1EFV_B_191,-482.332911686
1EFV_B_192,-482.930531061
1EFV_B_193,-482.794904372
1EFV_B_194,-481.610621741
1EFV_B_195,-484.174103519
1EFV_B_196,-483.18349627
1EFV_B_197,-481.910065119
1EFV_B_198,-482.438571371
1EFV_B_199,-481.170194814
1EFV_B_2,-483.185788577
1EFV_B_20,-481.063086688
1EFV_B_200,-484.090381941
1EFV_B_201,-482.429571605
1EFV_B_202,-481.583191106
1EFV_B_203,-482.108404165
1EFV_B_204,-482.582754203
1EFV_B_205,-482.094493755
1EFV_B_206,-482.729208433
1EFV_B_207,-482.017261505
1EFV_B_208,-481.896025336
1EFV_B_209,-481.809760837
1EFV_B_21,-481.725219571
1EFV_B_210,-482.280854665
1EFV_B_211,-482.476218484
1EFV_B_212,-483.073686522
1EFV_B_213,-481.511428251
1EFV_B_214,-483.508218279
1EFV_B_215,-481.956642221
1EFV_B_216,-482.466209674
1EFV_B_217,-481.891209146
1EFV_B_218,-481.672705205
1EFV_B_219,-483.210075001
1EFV_B_22,-481.88703074
1EFV_B_220,-482.209519528
1EFV_B_221,-481.666326799
1EFV_B_222,-482.093691354
1EFV_B_223,-482.523292605
1EFV_B_224,-481.779727067
1EFV_B_225,-481.846838793
1EFV_B_226,-482.138752369
1EFV_B_227,-482.131071675
1EFV_B_228,-482.985124335
1EFV_B_229,-481.209736337
1EFV_B_23,-480.990903364
1EFV_B_230,-481.83695292
1EFV_B_231,-482.338445561
1EFV_B_232,-483.129300306
1EFV_B_233,-481.314190249
1EFV_B_234,-482.56075136
1EFV_B_235,-482.165351369
1EFV_B_236,-481.882425432
1EFV_B_237,-483.227098224
1EFV_B_238,-481.747640112
