PDB	chain	mean_entropy	mean_KL
1B4T	A	1.51723084283	1.51472948249
1CI0	A	1.51438829608	2.12223281231
1EFV	B	1.21994696836	2.03805619019
1G58	B	1.5502731031	2.44998043972
1GV3	A	1.59575703174	1.81337489137
1HUJ	A	1.51054849538	1.48099336324
1HUR	A	1.32459462479	1.49974253171
1IBS	A	1.33073075836	2.35847100412
1JLW	A	1.19481835469	2.08411269606
1KY2	A	1.39283468324	1.32977470676
1KZL	A	1.26279341173	1.85607661126
1M3U	A	1.34993919539	1.86248826376
1MOZ	A	1.19394279107	2.29850458902
1OKC	A	1.12213120129	1.26632882893
1PV1	A	1.32089047837	2.4084442315
1QMV	A	1.53433397708	1.3462935886
1R6M	A	1.26144495399	1.47359581804
1RII	A	1.57636379314	1.61224037178
1V9S	B	1.19436530106	3.08539384353
1W7W	B	1.10183581449	1.97114015874
1X1O	B	1.54354371799	2.12641797928
1XTD	A	1.05333296838	2.15730782658
1YPI	A	1.38168854264	1.88560664071
1YSB	A	1.25736693502	1.96378825929
1ZNN	A	1.51535789766	1.35478223064
1ZWK	A	1.22573080352	1.26467509804
2A84	A	1.620991417	1.85534154268
2AIU	A	1.09920410118	0.964342803421
2BCG	Y	1.33138611428	1.43256445573
2BR9	A	1.19003559551	1.04353031484
2CFE	A	1.82399809067	1.04029482811
2CJM	C	1.39836239588	1.12479216847
2CNV	A	1.57251722005	1.73257560583
2ESF	A	1.12228805788	2.25164864933
2EU8	A	1.27372867727	1.27590597451
2FLI	A	1.48100475211	2.60210685503
2G0N	B	1.50119420435	1.03490304374
2GV5	D	1.06401968873	1.94374704148
