PDB,Rosetta Score
1CI0_A_1,-381.995291945
1CI0_A_10,-382.97852803
1CI0_A_100,-382.943207339
1CI0_A_101,-383.342525946
1CI0_A_102,-383.18005359
1CI0_A_103,-383.104090806
1CI0_A_104,-382.988951176
1CI0_A_105,-384.90076815
1CI0_A_106,-384.242369206
1CI0_A_107,-382.639059643
1CI0_A_108,-383.329234276
1CI0_A_109,-383.230836149
1CI0_A_11,-382.238636405
1CI0_A_110,-383.618107656
1CI0_A_111,-384.565251479
1CI0_A_112,-382.546950027
1CI0_A_113,-382.808741206
1CI0_A_114,-383.24775204
1CI0_A_115,-383.528236608
1CI0_A_116,-382.38106401
1CI0_A_117,-383.29753688
1CI0_A_118,-382.514991497
1CI0_A_119,-383.845307999
1CI0_A_12,-383.66725846
1CI0_A_120,-383.841331006
1CI0_A_121,-383.561114058
1CI0_A_122,-382.981476351
1CI0_A_123,-381.422574405
1CI0_A_124,-383.558547944
1CI0_A_125,-383.520322056
1CI0_A_126,-383.259109043
1CI0_A_127,-384.297915608
1CI0_A_128,-382.491823667
1CI0_A_129,-382.480410518
1CI0_A_13,-382.345971586
1CI0_A_130,-383.010023361
1CI0_A_131,-383.742208612
1CI0_A_132,-383.294303387
1CI0_A_133,-382.176292157
1CI0_A_134,-382.357150806
1CI0_A_135,-383.204893291
1CI0_A_136,-384.709326255
1CI0_A_137,-382.654763611
1CI0_A_138,-384.171312457
1CI0_A_139,-382.863323461
1CI0_A_14,-383.046632492
1CI0_A_140,-382.704033292
1CI0_A_141,-384.1071593
1CI0_A_142,-383.43898242
1CI0_A_143,-385.093867284
1CI0_A_144,-385.506833098
1CI0_A_145,-383.717292025
1CI0_A_146,-385.197263125
1CI0_A_147,-385.233024769
1CI0_A_148,-382.43605344
1CI0_A_149,-382.175320546
1CI0_A_15,-383.103100409
1CI0_A_150,-384.086074471
1CI0_A_151,-384.421132518
1CI0_A_152,-381.905338275
1CI0_A_153,-383.069709177
1CI0_A_154,-382.789545865
1CI0_A_155,-383.245126837
1CI0_A_156,-384.005373028
1CI0_A_157,-383.348076854
1CI0_A_158,-383.112936471
1CI0_A_159,-383.806593868
1CI0_A_16,-382.802821898
1CI0_A_160,-383.090579742
1CI0_A_161,-383.067468314
1CI0_A_162,-382.723322125
1CI0_A_163,-383.524020694
1CI0_A_164,-382.860149846
1CI0_A_165,-384.089453021
1CI0_A_166,-382.41257805
1CI0_A_167,-385.140119455
1CI0_A_168,-383.039666081
1CI0_A_169,-384.554468628
1CI0_A_17,-383.550997756
1CI0_A_170,-384.040081847
1CI0_A_171,-382.711436459
1CI0_A_172,-383.71945069
1CI0_A_173,-383.129252065
1CI0_A_174,-384.113142848
1CI0_A_175,-385.051796278
1CI0_A_176,-383.456508954
1CI0_A_177,-383.072840082
1CI0_A_178,-383.819081026
1CI0_A_179,-384.321077118
1CI0_A_18,-383.245512875
1CI0_A_180,-382.995287365
1CI0_A_181,-382.228215621
1CI0_A_182,-383.539178864
1CI0_A_183,-382.716741905
1CI0_A_184,-382.87463928
1CI0_A_185,-383.065662008
1CI0_A_186,-383.731732129
1CI0_A_187,-383.505813414
1CI0_A_188,-384.382526488
1CI0_A_189,-383.940920901
1CI0_A_19,-382.511568503
1CI0_A_190,-382.255625242
1CI0_A_191,-383.870071724
1CI0_A_192,-383.271976258
1CI0_A_193,-383.503571357
1CI0_A_194,-383.518761443
1CI0_A_195,-383.977640847
1CI0_A_196,-382.654154117
1CI0_A_197,-384.842208082
1CI0_A_198,-383.410666912
1CI0_A_199,-382.994853921
1CI0_A_2,-382.092658777
1CI0_A_20,-382.707579901
1CI0_A_200,-383.383525846
1CI0_A_201,-383.733869603
1CI0_A_202,-383.640115367
1CI0_A_203,-383.375550953
1CI0_A_204,-384.11835667
1CI0_A_205,-385.418589072
1CI0_A_206,-383.049949595
1CI0_A_207,-383.158464854
1CI0_A_208,-384.382350014
1CI0_A_209,-383.256623601
1CI0_A_21,-384.479326863
1CI0_A_210,-383.113988853
1CI0_A_211,-382.757276301
1CI0_A_212,-382.815961817
1CI0_A_213,-382.496749327
1CI0_A_214,-383.693917734
1CI0_A_215,-382.92953738
1CI0_A_216,-383.859857149
1CI0_A_217,-383.555936273
1CI0_A_218,-382.757721191
1CI0_A_219,-383.690486901
1CI0_A_22,-383.994127024
1CI0_A_220,-383.266199049
1CI0_A_221,-382.748933112
1CI0_A_222,-385.56881819
1CI0_A_223,-383.970224231
1CI0_A_224,-383.750270044
1CI0_A_225,-382.605489524
1CI0_A_226,-382.978337507
1CI0_A_227,-383.784033539
1CI0_A_228,-382.76181565
1CI0_A_229,-384.635283234
1CI0_A_23,-382.703475616
1CI0_A_230,-382.768454607
1CI0_A_231,-383.599359722
1CI0_A_232,-383.435338461
1CI0_A_233,-382.679423881
1CI0_A_234,-384.277944636
1CI0_A_235,-383.76698438
1CI0_A_236,-383.476867288
1CI0_A_237,-383.075643106
1CI0_A_238,-383.222427033
