PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	2.19970990133	1.51472948249	0.0681505645493
1CI0	2.4979184622	2.12223281231	0.0801227590314
1EFV	2.11163383858	2.06081248976	0.141555479064
1G58	2.80377553098	2.44998043972	0.066446742258
1GV3	2.58496047371	1.81337489137	0.097411751916
1HUJ	2.667734091	1.48099336324	0.0875122120878
1HUR	2.05181838158	1.49974253171	0.104979215084
1IBS	2.74816057078	2.35847100412	0.0667285213844
1JLW	2.95729500208	2.08411269606	0.089567474252
1KY2	1.67134758606	1.32977470676	0.173849965286
1KZL	2.59405741787	1.85607661126	0.12602862789
1M3U	2.21311465869	1.86248826376	0.12367626501
1MOZ	2.14277605659	2.29850458902	0.149650030878
1OKC	3.04365559615	1.26632882893	0.102410247937
1PV1	2.84885751388	2.4084442315	0.0890177395523
1QMV	2.50972299639	1.3462935886	0.0763210067673
1R6M	2.06125905204	1.47359581804	0.0437356577147
1RII	2.42258215462	1.61224037178	0.0456458764274
1V9S	3.20390466177	3.08539384353	0.0974504800219
1W7W	2.27484332799	1.97114015874	0.067852295565
1X1O	2.66771125729	2.12641797928	0.0996433292431
1XTD	2.14634603358	2.15730782658	0.108282749112
1YPI	2.68508643271	1.88560664071	0.0810783786759
1YSB	3.09695963844	1.96378825929	0.0798857024901
1ZNN	2.06067732582	1.35478223064	0.094130909624
1ZWK	1.67392606694	1.26467509804	0.125952721295
2A84	2.91764504345	1.85534154268	0.165794433291
2AIU	1.49677946645	0.986406984258	0.11271344056
2BCG	1.88876674627	1.43256445573	0.065529514254
2BR9	2.45827736075	1.04353031484	0.111039250578
2CFE	1.73174012734	1.04029482811	0.0364447148277
2CJM	2.36652103509	1.0671557761	0.0750126813374
2CNV	2.60101855667	1.73257560583	0.0616959343013
2ESF	3.36944581883	2.25164864933	0.0992438128699
2EU8	1.9080316519	1.27590597451	0.0752478535389
2FLI	3.04577074303	2.60210685503	0.0625522903809
2G0N	1.75100314294	1.03490304374	0.0924015779283
2GV5	2.16565580757	1.94374704148	0.105832411471
