PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	cor_entropy_iwcn
1B4T	A	0.271864567477	3.8267636011	0.598280824261	1.4859331051	0.608920837589
1CI0	A	0.286064887526	4.23785003504	0.620336210579	1.93035743497	0.566957013537
1EFV	B	0.30072727118	3.02986583414	0.673106033152	1.86944011067	0.632345626506
1G58	B	0.240971720328	3.51331451133	0.599599402462	1.77339997867	0.562780278008
1GV3	A	0.234670622191	4.3664290801	0.689338909962	1.49148281187	0.635914868022
1HUJ	A	0.229433926429	3.54491485071	0.613251232134	1.76460174714	0.538357036218
1HUR	A	0.257334788616	2.17369517171	0.623975431419	1.93787506811	0.624352983717
1IBS	A	0.23927975617	3.08550924313	0.661411693614	1.98731171838	0.564934870138
1JLW	A	0.252546244352	2.17556223589	0.525398259198	2.10561025699	0.464591228742
1KY2	A	0.277746549113	3.48863839457	0.690398041595	1.68947462114	0.697723404558
1KZL	A	0.272263998943	3.22874882022	0.676055071493	1.9122184449	0.630600663448
1M3U	A	0.216935327278	3.31418160808	0.639697827075	1.63249775698	0.572159197811
1MOZ	A	0.24925475052	2.47472357226	0.594296735951	2.24690005295	0.619149029585
1OKC	A	0.273555885293	1.7172919595	0.514899316786	2.75438861861	0.391128061671
1PV1	A	0.214651335954	3.0144315122	0.668722544255	2.16433804522	0.608005955751
1QMV	A	0.267037249942	4.03977513575	0.591722384675	1.28534329217	0.559337722095
1R6M	A	0.251870117166	3.02775287901	0.647092497879	1.81847546688	0.554997555133
1RII	A	0.238112161049	3.88703576022	0.658492686459	1.54721802426	0.618394909056
1V9S	B	0.291048527792	2.90440411411	0.617034383426	2.20080043916	0.564600753454
1W7W	B	0.28605603807	2.92953141857	0.697976048474	1.75068862226	0.630935346673
1X1O	B	0.259761605593	3.4170785022	0.556803163019	1.97139521306	0.496322861068
1XTD	A	0.359417870806	2.09912488542	0.37653916591	2.98152677657	0.394187105455
1YPI	A	0.249239643811	3.78173677004	0.665989368889	1.69672756262	0.6380089456
1YSB	A	0.244461153636	2.5975432836	0.610860625309	1.96325020159	0.58479840655
1ZNN	A	0.24831884401	3.36220899281	0.605970013745	1.36930343331	0.555167294894
1ZWK	A	0.260574665389	2.6207637359	0.634075709585	1.7236803505	0.624422585411
2A84	A	0.263706110583	4.19628406316	0.617817741833	1.71254188023	0.488645235186
2AIU	A	0.311907544476	2.35540652564	0.456258550499	1.34915269479	0.548798850594
2BCG	Y	0.294191626365	3.30307633415	0.659394249679	1.44245472375	0.664397293522
2BR9	A	0.268165763329	3.05992491854	0.633935117095	1.75280667872	0.562774487985
2CFE	A	0.243569700844	4.05678257421	0.577128456843	1.13372694986	0.589271368348
2CJM	C	0.253074315573	3.58179625978	0.72702142448	1.20536064669	0.619134969811
2CNV	A	0.252445096167	3.82487414748	0.596681239434	1.67165649506	0.447055638081
2ESF	A	0.286815097759	2.83638998884	0.639552968241	1.99314524954	0.64522253231
2EU8	A	0.266040799893	3.10506420233	0.511966554171	1.53630790631	0.407001113004
2FLI	A	0.231035159097	3.24903327333	0.653818498008	1.91014936081	0.602001718246
2G0N	B	0.263307149214	3.89159912942	0.637108393927	1.29857275775	0.63223425563
2GV5	D	0.367905374418	1.25348693688	0.149304890366	3.46942959856	0.161682562019
