PDB,Rosetta Score
2A84_A_1,-535.172583334
2A84_A_10,-532.712349372
2A84_A_100,-531.575492342
2A84_A_101,-531.911280902
2A84_A_102,-532.792418846
2A84_A_103,-533.600930004
2A84_A_104,-532.928415028
2A84_A_105,-533.11518954
2A84_A_106,-533.130558609
2A84_A_107,-532.324515055
2A84_A_108,-533.284086686
2A84_A_109,-533.19005737
2A84_A_11,-532.380457922
2A84_A_110,-532.371011305
2A84_A_111,-533.881955325
2A84_A_112,-532.382326778
2A84_A_113,-535.133574764
2A84_A_114,-534.375098592
2A84_A_115,-532.181420934
2A84_A_116,-532.199140187
2A84_A_117,-532.666595533
2A84_A_118,-530.709679532
2A84_A_119,-533.685432475
2A84_A_12,-532.549128168
2A84_A_120,-533.030911531
2A84_A_121,-532.094212887
2A84_A_122,-531.595709062
2A84_A_123,-531.536092323
2A84_A_124,-533.499459389
2A84_A_125,-532.233275138
2A84_A_126,-531.969249162
2A84_A_127,-532.720321811
2A84_A_128,-531.285131485
2A84_A_129,-532.889861429
2A84_A_13,-532.259516237
2A84_A_130,-533.175377105
2A84_A_131,-533.648707711
2A84_A_132,-533.770415125
2A84_A_133,-533.646518987
2A84_A_134,-531.571155919
2A84_A_135,-532.686331419
2A84_A_136,-531.478366992
2A84_A_137,-531.657447624
2A84_A_138,-532.6336768
2A84_A_139,-532.283110486
2A84_A_14,-534.657038168
2A84_A_140,-533.579609935
2A84_A_141,-532.566006663
2A84_A_142,-533.515750959
2A84_A_143,-533.474274166
2A84_A_144,-532.250225251
2A84_A_145,-531.729094164
2A84_A_146,-534.417753224
2A84_A_147,-534.014433812
2A84_A_148,-532.307505231
2A84_A_149,-533.260074456
2A84_A_15,-533.784197417
2A84_A_150,-532.189242529
2A84_A_151,-532.183215241
2A84_A_152,-533.545259795
2A84_A_153,-533.122366735
2A84_A_154,-531.963317362
2A84_A_155,-530.981477453
2A84_A_156,-532.410555941
2A84_A_157,-533.357695674
2A84_A_158,-533.648803738
2A84_A_159,-532.964490652
2A84_A_16,-531.963144733
2A84_A_160,-531.937130924
2A84_A_161,-533.081889213
2A84_A_162,-531.344952364
2A84_A_163,-532.202033119
2A84_A_164,-532.843931276
2A84_A_165,-533.054148185
2A84_A_166,-531.929856437
2A84_A_167,-533.271893891
2A84_A_168,-532.031826751
2A84_A_169,-533.589904209
2A84_A_17,-532.859851245
2A84_A_170,-532.398964918
2A84_A_171,-533.465295279
2A84_A_172,-531.453184323
2A84_A_173,-532.282877084
2A84_A_174,-533.020520539
2A84_A_175,-532.391503337
2A84_A_176,-532.385834417
2A84_A_177,-533.507368533
2A84_A_178,-534.392160972
2A84_A_179,-533.070895714
2A84_A_18,-531.668524155
2A84_A_180,-531.275432582
2A84_A_181,-531.717181182
2A84_A_182,-531.735758867
2A84_A_183,-532.245131751
2A84_A_184,-535.033354223
2A84_A_185,-532.774813346
2A84_A_186,-531.741019815
2A84_A_187,-533.829885682
2A84_A_188,-531.087573002
2A84_A_189,-533.970263178
2A84_A_19,-532.163555082
2A84_A_190,-532.431111195
2A84_A_191,-532.134925916
2A84_A_192,-533.179185855
2A84_A_193,-532.624521018
2A84_A_194,-532.64980352
2A84_A_195,-531.877907539
2A84_A_196,-533.95794958
2A84_A_197,-532.519754574
2A84_A_198,-532.642907368
2A84_A_199,-534.805575264
2A84_A_2,-533.418135064
2A84_A_20,-532.294131984
2A84_A_200,-533.708754383
2A84_A_201,-532.334607745
2A84_A_202,-533.146761349
2A84_A_203,-533.41398802
2A84_A_204,-534.065710338
2A84_A_205,-532.154742196
2A84_A_206,-533.389974794
2A84_A_207,-532.127961447
2A84_A_208,-532.392263181
2A84_A_209,-533.393667931
2A84_A_21,-531.600205919
2A84_A_210,-531.780191388
2A84_A_211,-531.506387689
2A84_A_212,-532.074120782
2A84_A_213,-532.84651088
2A84_A_214,-532.650288543
2A84_A_215,-533.43825462
2A84_A_216,-531.847011877
2A84_A_217,-532.312711874
2A84_A_218,-532.089123322
2A84_A_219,-533.722983432
2A84_A_22,-533.18490553
2A84_A_220,-532.614960692
2A84_A_221,-532.430941365
2A84_A_222,-532.407198133
2A84_A_223,-532.320258813
2A84_A_224,-534.821713477
2A84_A_225,-532.102135502
2A84_A_226,-532.66695254
2A84_A_227,-531.733304347
2A84_A_228,-531.783172299
2A84_A_229,-534.130994565
2A84_A_23,-531.029170473
2A84_A_230,-531.603663562
2A84_A_231,-532.731839129
2A84_A_232,-533.285341471
2A84_A_233,-532.246980061
2A84_A_234,-534.1743128
2A84_A_235,-532.2838373
2A84_A_236,-532.73787727
2A84_A_237,-531.667076215
2A84_A_238,-533.2848304
2A84_A_239,-532.126726918
2A84_A_24,-532.200208414
2A84_A_240,-534.027405721
2A84_A_241,-532.578746629
2A84_A_242,-533.387412493
2A84_A_243,-532.256485548
2A84_A_244,-531.947334566
2A84_A_245,-532.323718341
2A84_A_246,-532.313300976
2A84_A_247,-533.64591149
2A84_A_248,-532.341857561
2A84_A_249,-532.450428736
2A84_A_25,-535.063168832
2A84_A_250,-532.587054562
2A84_A_251,-532.860986407
2A84_A_252,-532.784295535
2A84_A_253,-532.803939182
2A84_A_254,-532.856975783
2A84_A_255,-532.652119505
2A84_A_256,-532.679539872
2A84_A_257,-532.230109574
2A84_A_258,-532.735122698
2A84_A_259,-532.724362623
2A84_A_26,-533.474679114
2A84_A_260,-533.025530521
2A84_A_261,-533.017011691
2A84_A_262,-532.527105308
2A84_A_263,-532.789043287
2A84_A_264,-533.514416159
2A84_A_265,-532.062674177
2A84_A_266,-532.60150533
2A84_A_267,-532.950722131
2A84_A_268,-532.964661296
2A84_A_269,-533.42639975
