PDB,Rosetta Score
1W7W_B_1,-275.904115556
1W7W_B_10,-275.191004503
1W7W_B_100,-276.477389745
1W7W_B_101,-276.018356619
1W7W_B_102,-275.87041012
1W7W_B_103,-276.754133738
1W7W_B_104,-276.427048287
1W7W_B_105,-275.619154439
1W7W_B_106,-275.949090732
1W7W_B_107,-276.545709261
1W7W_B_108,-275.726500102
1W7W_B_109,-275.591713089
1W7W_B_11,-276.394115152
1W7W_B_110,-275.859699795
1W7W_B_111,-276.547088234
1W7W_B_112,-277.246878366
1W7W_B_113,-275.514347949
1W7W_B_114,-276.016083389
1W7W_B_115,-275.927397134
1W7W_B_116,-275.281331845
1W7W_B_117,-275.308477172
1W7W_B_118,-275.997798396
1W7W_B_119,-275.777964159
1W7W_B_12,-275.801142238
1W7W_B_120,-276.574759881
1W7W_B_121,-276.387261978
1W7W_B_122,-275.508784414
1W7W_B_123,-275.979378139
1W7W_B_124,-275.968491778
1W7W_B_125,-277.508906917
1W7W_B_126,-276.966090203
1W7W_B_127,-276.318412896
1W7W_B_128,-275.495300172
1W7W_B_129,-276.283052032
1W7W_B_13,-275.146507446
1W7W_B_130,-276.171535492
1W7W_B_131,-276.238237716
1W7W_B_132,-275.566278986
1W7W_B_133,-275.505935438
1W7W_B_134,-276.543614622
1W7W_B_135,-275.904792594
1W7W_B_136,-275.736976675
1W7W_B_137,-275.948180047
1W7W_B_138,-276.06916411
1W7W_B_139,-275.042267106
1W7W_B_14,-275.936044159
1W7W_B_140,-276.777221731
1W7W_B_141,-276.201257418
1W7W_B_142,-276.065078456
1W7W_B_143,-275.41680916
1W7W_B_144,-277.406516601
1W7W_B_145,-275.763755263
1W7W_B_146,-276.56459934
1W7W_B_147,-276.417295492
1W7W_B_148,-276.227316565
1W7W_B_149,-275.611603514
1W7W_B_15,-276.036395036
1W7W_B_150,-276.831398077
1W7W_B_151,-275.70323467
1W7W_B_152,-275.552868254
1W7W_B_153,-274.879174449
1W7W_B_154,-277.146457901
1W7W_B_155,-275.591396729
1W7W_B_156,-275.747987387
1W7W_B_157,-275.852213115
1W7W_B_158,-277.225315713
1W7W_B_159,-276.254639228
1W7W_B_16,-276.280837696
1W7W_B_160,-275.547546157
1W7W_B_161,-275.964082515
1W7W_B_162,-275.821158559
1W7W_B_163,-274.954758852
1W7W_B_164,-275.167862791
1W7W_B_165,-276.345785309
1W7W_B_166,-275.762627348
1W7W_B_167,-275.767018145
1W7W_B_168,-275.746727794
1W7W_B_169,-276.839035538
1W7W_B_17,-277.501736789
1W7W_B_170,-276.498018684
1W7W_B_171,-276.078185521
1W7W_B_172,-275.276020339
1W7W_B_173,-276.228534634
1W7W_B_174,-276.608891746
1W7W_B_175,-276.534616739
1W7W_B_176,-275.632478333
1W7W_B_177,-277.25340524
1W7W_B_178,-276.22404199
1W7W_B_179,-275.336735947
1W7W_B_18,-275.499108865
1W7W_B_180,-276.297027598
1W7W_B_181,-276.002090064
1W7W_B_182,-275.953449882
1W7W_B_183,-275.987598211
1W7W_B_184,-276.19675986
1W7W_B_185,-276.902109703
1W7W_B_186,-276.123892242
1W7W_B_187,-276.90511874
1W7W_B_188,-275.96788968
1W7W_B_189,-275.84449178
1W7W_B_19,-275.990556417
1W7W_B_190,-276.194729768
1W7W_B_191,-277.030823334
1W7W_B_192,-276.178684047
1W7W_B_193,-276.000306019
1W7W_B_194,-276.387439126
1W7W_B_195,-275.030164146
1W7W_B_196,-275.575906171
1W7W_B_197,-275.108030937
1W7W_B_198,-276.413526916
1W7W_B_199,-276.680660902
1W7W_B_2,-276.026802463
1W7W_B_20,-275.881672707
1W7W_B_200,-275.213878432
1W7W_B_201,-276.147720426
1W7W_B_202,-276.076643285
1W7W_B_203,-275.351340425
1W7W_B_204,-276.328013744
1W7W_B_205,-275.921204257
1W7W_B_206,-275.851390846
1W7W_B_207,-275.682393593
1W7W_B_208,-276.076542064
1W7W_B_209,-276.160116058
1W7W_B_21,-276.374418869
1W7W_B_210,-276.017368218
1W7W_B_211,-276.115533527
1W7W_B_212,-276.520511442
1W7W_B_213,-275.933431158
1W7W_B_214,-275.938662348
1W7W_B_215,-275.389323652
1W7W_B_216,-275.917940085
1W7W_B_217,-276.137636906
1W7W_B_218,-276.26936025
1W7W_B_219,-276.723533905
1W7W_B_22,-275.937092578
1W7W_B_220,-275.604082878
1W7W_B_221,-276.017067682
1W7W_B_222,-278.082426047
1W7W_B_223,-276.096624412
1W7W_B_224,-276.239499644
1W7W_B_225,-274.780240476
1W7W_B_226,-276.77490157
1W7W_B_227,-275.121478713
1W7W_B_228,-275.274460008
1W7W_B_229,-275.284332451
1W7W_B_23,-275.022948419
1W7W_B_230,-275.898708232
1W7W_B_231,-275.414156641
1W7W_B_232,-275.21893199
1W7W_B_233,-275.243869019
1W7W_B_234,-276.364212699
1W7W_B_235,-275.538931303
1W7W_B_236,-275.378831317
1W7W_B_237,-276.187006806
1W7W_B_238,-276.078397326
1W7W_B_239,-276.165113533
1W7W_B_24,-276.280380116
1W7W_B_240,-276.046217095
1W7W_B_241,-275.823196232
1W7W_B_242,-276.397400249
1W7W_B_243,-275.507848602
1W7W_B_244,-276.263936016
1W7W_B_245,-277.08492758
1W7W_B_246,-275.811566782
1W7W_B_247,-277.273038501
1W7W_B_248,-277.470961099
1W7W_B_249,-275.425549999
1W7W_B_25,-276.747443787
1W7W_B_250,-275.45657021
1W7W_B_251,-276.322885772
1W7W_B_252,-275.103455241
1W7W_B_253,-275.149408925
1W7W_B_254,-276.247433656
1W7W_B_255,-276.195384853
1W7W_B_256,-275.345496994
1W7W_B_257,-276.278213539
1W7W_B_258,-275.536283795
1W7W_B_259,-276.003516242
1W7W_B_26,-276.033740157
1W7W_B_260,-275.647533213
1W7W_B_261,-277.907360047
1W7W_B_262,-277.144454668
1W7W_B_263,-276.128330898
1W7W_B_264,-276.156736346
1W7W_B_265,-276.237942306
1W7W_B_266,-275.748245638
1W7W_B_267,-275.312682103
1W7W_B_268,-276.126676535
1W7W_B_269,-276.546291573
1W7W_B_27,-275.710920015
1W7W_B_270,-275.166143512
1W7W_B_271,-275.439331646
1W7W_B_272,-274.851799925
1W7W_B_273,-275.534061525
1W7W_B_274,-275.621398844
1W7W_B_275,-277.550626553
1W7W_B_276,-275.391654897
1W7W_B_277,-276.563186328
1W7W_B_278,-276.246718169
1W7W_B_279,-275.416826496
1W7W_B_28,-276.745431767
1W7W_B_280,-275.291695336
1W7W_B_281,-277.310283539
1W7W_B_282,-276.203122063
1W7W_B_283,-275.766536858
1W7W_B_284,-276.044370183
1W7W_B_285,-275.880394221
1W7W_B_286,-275.634486812
1W7W_B_287,-276.145299648
1W7W_B_288,-275.862786807
1W7W_B_289,-275.786517005
1W7W_B_29,-275.878237346
1W7W_B_290,-277.493540462
1W7W_B_291,-275.934128339
1W7W_B_292,-276.210262916
1W7W_B_293,-276.37219093
1W7W_B_294,-276.837058154
1W7W_B_295,-276.075096937
1W7W_B_296,-276.226544788
1W7W_B_297,-276.170788786
1W7W_B_298,-276.882619171
1W7W_B_299,-276.413279851
1W7W_B_3,-276.014810582
1W7W_B_30,-276.986420349
1W7W_B_300,-276.274126402
1W7W_B_301,-275.643259763
1W7W_B_302,-276.433302281
1W7W_B_303,-275.478061685
1W7W_B_304,-276.909600996
1W7W_B_305,-275.722626225
1W7W_B_306,-275.939367056
1W7W_B_307,-276.093834388
1W7W_B_308,-276.661101386
1W7W_B_309,-276.597238168
1W7W_B_31,-275.287248271
1W7W_B_310,-276.960527604
1W7W_B_311,-276.003457587
1W7W_B_312,-275.55861852
1W7W_B_313,-276.164289113
1W7W_B_314,-275.289861327
1W7W_B_315,-276.513123088
1W7W_B_316,-275.31817268
1W7W_B_317,-277.306208513
1W7W_B_318,-275.586359191
1W7W_B_319,-276.629196956
1W7W_B_32,-276.342865931
1W7W_B_320,-276.847953255
1W7W_B_321,-277.738367762
1W7W_B_322,-276.44074872
1W7W_B_323,-275.151301788
1W7W_B_324,-276.530768193
1W7W_B_325,-275.231835232
1W7W_B_326,-275.62421338
1W7W_B_327,-276.265023015
1W7W_B_328,-274.999534129
1W7W_B_329,-276.810069604
1W7W_B_33,-275.904844548
1W7W_B_330,-275.332020164
1W7W_B_331,-275.500932408
1W7W_B_332,-276.096323438
1W7W_B_333,-274.858779228
1W7W_B_334,-276.604008097
1W7W_B_335,-276.863977267
1W7W_B_336,-275.600028393
1W7W_B_337,-275.620528703
1W7W_B_338,-276.054806457
1W7W_B_339,-275.678922068
1W7W_B_34,-276.267754593
1W7W_B_340,-275.311871549
1W7W_B_341,-276.322391511
1W7W_B_342,-276.259805554
1W7W_B_343,-276.743432249
1W7W_B_344,-275.628272814
1W7W_B_345,-277.269920445
1W7W_B_346,-276.473796957
1W7W_B_347,-275.517717743
1W7W_B_348,-275.808713839
1W7W_B_349,-275.221590999
1W7W_B_35,-276.147149747
1W7W_B_350,-276.510031694
1W7W_B_351,-276.47554037
