PDB	chain	mean_entropy	split_mean_KL
1B4T	A	0.497037364423	0.0996129148153
1CI0	A	0.539185176202	0.0996129148153
1EFV	B	0.674132989062	0.0996129148153
1G58	B	0.78488595539	0.0996129148153
1GV3	A	0.711651610579	0.0996129148153
1HUJ	A	0.485180695418	0.0996129148153
1HUR	A	0.616516890237	0.0996129148153
1IBS	A	0.852920926942	0.0996129148153
1JLW	A	0.627797932044	0.0996129148153
1KY2	A	0.515477136339	0.0996129148153
1KZL	A	0.722364942499	0.0996129148153
1M3U	A	0.60816072786	0.0996129148153
1MOZ	A	0.647321292601	0.0996129148153
1OKC	A	0.426429795318	0.0996129148153
1PV1	A	0.615568519253	0.0996129148153
1QMV	A	0.610424008477	0.0996129148153
1R6M	A	0.539845132511	0.0996129148153
1RII	A	0.579058637696	0.0996129148153
1V9S	B	0.950732159841	0.0996129148153
1W7W	B	0.642161964831	0.0996129148153
1X1O	B	0.856224105316	0.0996129148153
1XTD	A	0.65900631603	0.0996129148153
1YPI	A	0.665504727656	0.0996129148153
1YSB	A	0.488058508942	0.0996129148153
1ZNN	A	0.373820523654	0.0996129148153
1ZWK	A	0.510596473136	0.0996129148153
2A84	A	0.871086629886	0.0996129148153
2AIU	A	0.639147435673	0.0996129148153
2BCG	Y	0.57436170133	0.0996129148153
2BR9	A	0.353517034588	0.0996129148153
2CFE	A	0.502381713103	0.0996129148153
2CJM	C	0.562575329425	0.0996129148153
2CNV	A	0.617844225273	0.0996129148153
2ESF	A	0.684210819549	0.0996129148153
2EU8	A	0.41354411613	0.0996129148153
2FLI	A	0.792259404879	0.0996129148153
2G0N	B	0.574314384537	0.0996129148153
2GV5	D	0.416905529542	0.0996129148153
