PDB,Rosetta Score
1HUR_A_1,-297.166578231
1HUR_A_10,-296.713893909
1HUR_A_100,-296.093264781
1HUR_A_101,-297.094310568
1HUR_A_102,-296.316788044
1HUR_A_103,-296.337258369
1HUR_A_104,-296.562126087
1HUR_A_105,-295.908110216
1HUR_A_106,-296.393626424
1HUR_A_107,-296.651018018
1HUR_A_108,-297.617331009
1HUR_A_109,-297.239253206
1HUR_A_11,-296.109910654
1HUR_A_110,-298.320359245
1HUR_A_111,-295.760854373
1HUR_A_112,-296.724685688
1HUR_A_113,-296.818191984
1HUR_A_114,-296.179829826
1HUR_A_115,-297.078516014
1HUR_A_116,-297.013587061
1HUR_A_117,-296.729556728
1HUR_A_118,-296.002732241
1HUR_A_119,-296.974660467
1HUR_A_12,-296.367775642
1HUR_A_120,-296.496621594
1HUR_A_121,-297.164384106
1HUR_A_122,-297.054857224
1HUR_A_123,-296.091912666
1HUR_A_124,-296.163541215
1HUR_A_125,-296.090127003
1HUR_A_126,-296.423958626
1HUR_A_127,-297.243319072
1HUR_A_128,-296.604691464
1HUR_A_129,-295.911823984
1HUR_A_13,-297.356276108
1HUR_A_130,-295.806593683
1HUR_A_131,-296.91638226
1HUR_A_132,-295.959740967
1HUR_A_133,-297.397408999
1HUR_A_134,-296.233069871
1HUR_A_135,-295.776048533
1HUR_A_136,-296.574024326
1HUR_A_137,-296.85179524
1HUR_A_138,-297.083163259
1HUR_A_139,-296.896211587
1HUR_A_14,-297.492797247
1HUR_A_140,-296.193124769
1HUR_A_141,-296.559973858
1HUR_A_142,-298.427937658
1HUR_A_143,-295.569265283
1HUR_A_144,-296.857877416
1HUR_A_145,-296.452737517
1HUR_A_146,-296.918023051
1HUR_A_147,-297.004981337
1HUR_A_148,-296.233053033
1HUR_A_149,-297.289310039
1HUR_A_15,-296.229560597
1HUR_A_150,-295.652604172
1HUR_A_151,-296.173529898
1HUR_A_152,-296.726310531
1HUR_A_153,-297.087879359
1HUR_A_154,-297.125873517
1HUR_A_155,-296.750927
1HUR_A_156,-295.904662409
1HUR_A_157,-295.778345203
1HUR_A_158,-296.046754996
1HUR_A_159,-295.982728539
1HUR_A_16,-297.289816919
1HUR_A_160,-296.182871882
1HUR_A_161,-295.888335959
1HUR_A_162,-296.471066361
1HUR_A_163,-296.079867483
1HUR_A_164,-295.614511282
1HUR_A_165,-296.494768533
1HUR_A_166,-296.991699158
1HUR_A_167,-295.791122917
1HUR_A_168,-296.181801724
1HUR_A_169,-296.672168534
1HUR_A_17,-296.3696264
1HUR_A_170,-296.191073358
1HUR_A_171,-296.451839726
1HUR_A_172,-296.31008402
1HUR_A_173,-296.446423856
1HUR_A_174,-297.031447016
1HUR_A_175,-295.940991192
1HUR_A_176,-297.316082222
1HUR_A_177,-296.621900993
1HUR_A_178,-296.167365619
1HUR_A_179,-297.067165325
1HUR_A_18,-296.464487108
1HUR_A_180,-296.709312065
1HUR_A_181,-297.092659167
1HUR_A_182,-297.225864485
1HUR_A_183,-296.675624967
1HUR_A_184,-298.621575392
1HUR_A_185,-297.021975505
1HUR_A_186,-295.575481703
1HUR_A_187,-296.728972772
1HUR_A_188,-297.741807455
1HUR_A_189,-298.464222033
1HUR_A_19,-296.764228887
1HUR_A_190,-296.668387797
1HUR_A_191,-296.091350416
1HUR_A_192,-297.114614446
1HUR_A_193,-295.888903385
1HUR_A_194,-296.122471562
1HUR_A_195,-297.135600781
1HUR_A_196,-296.175298592
1HUR_A_197,-296.376390101
1HUR_A_198,-297.167304813
1HUR_A_199,-297.174608516
1HUR_A_2,-297.179069746
1HUR_A_20,-296.359832871
1HUR_A_200,-295.511607901
1HUR_A_201,-295.914852122
1HUR_A_202,-295.907920271
1HUR_A_203,-296.986570096
1HUR_A_204,-297.463440282
1HUR_A_205,-295.820945635
1HUR_A_206,-296.477882941
1HUR_A_207,-295.984429338
1HUR_A_208,-296.973102735
1HUR_A_209,-295.210488417
1HUR_A_21,-296.64808522
1HUR_A_210,-296.386739857
1HUR_A_211,-297.182901818
1HUR_A_212,-296.027935033
1HUR_A_213,-296.588084076
1HUR_A_214,-296.673042283
1HUR_A_215,-295.80130779
1HUR_A_216,-296.438275784
1HUR_A_217,-296.194479853
1HUR_A_218,-295.943354758
1HUR_A_219,-296.014066225
1HUR_A_22,-295.961751008
1HUR_A_220,-296.172235952
1HUR_A_221,-296.327404487
1HUR_A_222,-297.231610933
1HUR_A_223,-295.421312026
1HUR_A_224,-296.709701203
1HUR_A_225,-295.77333131
1HUR_A_226,-296.866943476
1HUR_A_227,-296.072699371
1HUR_A_228,-298.014486261
1HUR_A_229,-296.696965187
1HUR_A_23,-296.525702585
1HUR_A_230,-296.544414495
1HUR_A_231,-296.347703109
1HUR_A_232,-296.457830384
1HUR_A_233,-296.657224114
1HUR_A_234,-296.316064691
1HUR_A_235,-295.997463765
1HUR_A_236,-296.342376346
1HUR_A_237,-297.049368453
1HUR_A_238,-296.795354488
1HUR_A_239,-298.101034432
1HUR_A_24,-296.032765677
1HUR_A_240,-297.195421406
1HUR_A_241,-296.423513795
1HUR_A_242,-297.062392697
1HUR_A_243,-296.715661165
1HUR_A_244,-295.781566542
1HUR_A_245,-295.374517183
1HUR_A_246,-296.96085938
1HUR_A_247,-296.93388622
1HUR_A_248,-296.786699461
1HUR_A_249,-296.871886333
1HUR_A_25,-296.447603643
1HUR_A_250,-296.950071476
1HUR_A_251,-296.370073196
1HUR_A_252,-295.717057583
1HUR_A_253,-298.179175161
1HUR_A_254,-296.404940894
1HUR_A_255,-296.717926701
1HUR_A_256,-296.687028565
1HUR_A_257,-297.687155206
1HUR_A_258,-296.572610682
1HUR_A_259,-296.996345693
1HUR_A_26,-298.524550873
1HUR_A_260,-296.504682323
1HUR_A_261,-296.959679507
1HUR_A_262,-297.065676385
1HUR_A_263,-297.304882077
1HUR_A_264,-295.901287725
1HUR_A_265,-297.012975276
1HUR_A_266,-296.366684284
1HUR_A_267,-297.695014604
1HUR_A_268,-297.133391197
1HUR_A_269,-297.767260234
1HUR_A_27,-296.879921957
1HUR_A_270,-296.45218149
1HUR_A_271,-297.620488473
1HUR_A_272,-296.342259088
1HUR_A_273,-296.076158803
1HUR_A_274,-296.173920144
1HUR_A_275,-296.108830145
1HUR_A_276,-296.489082617
1HUR_A_277,-295.692017955
1HUR_A_278,-296.055085843
1HUR_A_279,-296.808291253
1HUR_A_28,-296.471261075
1HUR_A_280,-296.508110815
1HUR_A_281,-296.108972481
1HUR_A_282,-296.232390494
1HUR_A_283,-297.431047247
1HUR_A_284,-295.571872377
1HUR_A_285,-296.737847755
1HUR_A_286,-295.945531713
1HUR_A_287,-296.685430583
1HUR_A_288,-296.815902083
1HUR_A_289,-296.194333076
1HUR_A_29,-296.228644764
1HUR_A_290,-296.555428806
1HUR_A_291,-295.673290052
1HUR_A_292,-296.485581075
1HUR_A_293,-296.360160542
1HUR_A_294,-296.267593077
1HUR_A_295,-295.493139849
1HUR_A_296,-296.270751066
1HUR_A_297,-296.151044847
1HUR_A_298,-296.703940959
1HUR_A_299,-297.846752183
1HUR_A_3,-296.858052056
1HUR_A_30,-296.359696926
1HUR_A_300,-297.293677089
1HUR_A_301,-297.541426535
1HUR_A_302,-296.492447229
1HUR_A_303,-296.333580023
1HUR_A_304,-296.370070649
1HUR_A_305,-296.773158765
1HUR_A_306,-297.049022835
1HUR_A_307,-295.829669806
1HUR_A_308,-296.802295798
1HUR_A_309,-297.104402124
1HUR_A_31,-296.92476406
1HUR_A_310,-296.293843397
1HUR_A_311,-295.822050111
1HUR_A_312,-297.163786333
1HUR_A_313,-296.295121831
1HUR_A_314,-296.4523036
1HUR_A_315,-296.054477277
1HUR_A_316,-296.00040403
1HUR_A_317,-296.566901005
1HUR_A_318,-296.319627174
1HUR_A_319,-296.769851005
1HUR_A_32,-296.491252637
1HUR_A_320,-296.980707455
1HUR_A_321,-296.384836525
1HUR_A_322,-296.721704931
1HUR_A_323,-295.710578447
1HUR_A_324,-296.967217081
1HUR_A_325,-296.902693239
1HUR_A_326,-295.6254671
1HUR_A_327,-296.424687641
1HUR_A_328,-296.123675229
1HUR_A_329,-296.011116591
1HUR_A_33,-296.581909512
1HUR_A_330,-296.010341629
1HUR_A_331,-298.365884025
1HUR_A_332,-296.607803532
1HUR_A_333,-296.717218785
1HUR_A_334,-296.775532909
1HUR_A_335,-295.90419464
1HUR_A_336,-297.904064786
1HUR_A_337,-296.719502739
1HUR_A_338,-296.428334084
1HUR_A_339,-296.222171751
1HUR_A_34,-296.906503896
1HUR_A_340,-298.029847097
1HUR_A_341,-297.211019195
1HUR_A_342,-296.523513591
1HUR_A_343,-296.879535703
1HUR_A_344,-296.249926152
1HUR_A_345,-296.266559346
1HUR_A_346,-295.901869458
1HUR_A_347,-295.872300078
1HUR_A_348,-296.825956345
1HUR_A_349,-295.766546296
1HUR_A_35,-296.32997812
1HUR_A_350,-296.470996194
1HUR_A_351,-296.192074981
1HUR_A_352,-298.373983967
1HUR_A_353,-296.33775233
1HUR_A_354,-296.390352103
1HUR_A_355,-295.83982649
1HUR_A_356,-296.203016142
1HUR_A_357,-296.019473433
1HUR_A_358,-297.115495912
1HUR_A_359,-296.921191275
1HUR_A_36,-296.090107377
1HUR_A_360,-296.541118918
1HUR_A_361,-295.639806017
1HUR_A_362,-296.206380604
1HUR_A_363,-297.093281639
1HUR_A_364,-295.939866914
1HUR_A_365,-297.348898032
1HUR_A_366,-297.714464215
1HUR_A_367,-296.534927066
1HUR_A_368,-296.9665298
1HUR_A_369,-296.853222239
1HUR_A_37,-297.129236824
1HUR_A_370,-296.812366825
1HUR_A_371,-295.933552568
1HUR_A_372,-296.331706155
1HUR_A_373,-296.829449636
1HUR_A_374,-296.27748006
1HUR_A_375,-295.799381149
1HUR_A_376,-296.900675269
1HUR_A_377,-297.468496081
1HUR_A_378,-296.345385015
1HUR_A_379,-295.84249723
1HUR_A_38,-296.495442897
1HUR_A_380,-295.723778083
1HUR_A_381,-296.209174633
1HUR_A_382,-295.577079988
1HUR_A_383,-296.296809734
1HUR_A_384,-296.623028921
1HUR_A_385,-296.62034382
1HUR_A_386,-296.739052366
1HUR_A_387,-296.549128756
1HUR_A_388,-297.507460103
1HUR_A_389,-296.10708721
1HUR_A_39,-296.444154979
1HUR_A_390,-296.453866671
1HUR_A_391,-296.38903406
1HUR_A_392,-296.131062014
1HUR_A_393,-296.025977802
1HUR_A_394,-296.587262808
1HUR_A_395,-295.864605393
1HUR_A_396,-296.989769438
1HUR_A_397,-297.403249938
1HUR_A_398,-296.433121319
1HUR_A_399,-296.690990048
1HUR_A_4,-296.503725883
1HUR_A_40,-297.099197555
1HUR_A_400,-296.06388685
1HUR_A_401,-296.137999357
1HUR_A_402,-296.379904072
1HUR_A_403,-296.522399608
1HUR_A_404,-297.227751538
1HUR_A_405,-296.208910311
1HUR_A_406,-296.486731785
1HUR_A_407,-296.273569513
1HUR_A_408,-296.46339764
1HUR_A_409,-296.168818753
1HUR_A_41,-296.028040753
1HUR_A_410,-296.12261956
1HUR_A_411,-296.765698003
1HUR_A_412,-295.802360792
1HUR_A_413,-296.555696591
1HUR_A_414,-296.570168084
1HUR_A_415,-296.316491825
1HUR_A_416,-297.460814908
1HUR_A_417,-296.487228958
1HUR_A_418,-297.365789845
1HUR_A_419,-296.798608913
1HUR_A_42,-296.319292607
1HUR_A_420,-295.959406939
1HUR_A_421,-297.121974098
1HUR_A_422,-296.197061604
1HUR_A_423,-297.39183791
1HUR_A_424,-296.856029223
1HUR_A_425,-296.715229486
1HUR_A_426,-297.749691837
1HUR_A_427,-296.506345838
1HUR_A_428,-295.993768427
1HUR_A_429,-296.281641471
1HUR_A_43,-296.734597231
1HUR_A_430,-296.309533407
1HUR_A_431,-296.807676706
1HUR_A_432,-296.72672235
1HUR_A_433,-296.251596257
1HUR_A_434,-295.748668879
1HUR_A_435,-297.016878045
1HUR_A_436,-296.135278103
1HUR_A_437,-296.455941433
1HUR_A_438,-296.164253996
1HUR_A_439,-296.903805716
1HUR_A_44,-296.321050632
1HUR_A_440,-296.144744128
1HUR_A_441,-297.634670305
1HUR_A_442,-296.481674845
1HUR_A_443,-296.459189987
1HUR_A_444,-295.467559348
1HUR_A_445,-296.864626425
1HUR_A_446,-296.852689251
1HUR_A_447,-296.799397516
1HUR_A_448,-296.392834715
1HUR_A_449,-295.462476325
1HUR_A_45,-296.910702232
1HUR_A_450,-296.278658695
1HUR_A_451,-296.71232555
1HUR_A_452,-296.462206309
1HUR_A_453,-295.946663632
1HUR_A_454,-297.304069174
1HUR_A_455,-297.037106928
1HUR_A_456,-295.792887063
1HUR_A_457,-296.792695776
1HUR_A_458,-297.555135936
1HUR_A_459,-297.08419255
1HUR_A_46,-297.419724585
1HUR_A_460,-297.769624023
1HUR_A_461,-296.846983565
1HUR_A_462,-297.514668681
1HUR_A_463,-296.496197205
1HUR_A_464,-296.069745913
1HUR_A_465,-296.372008189
1HUR_A_466,-298.278825753
1HUR_A_467,-296.301780771
1HUR_A_468,-296.533551104
1HUR_A_469,-295.993601588
1HUR_A_47,-297.841346213
1HUR_A_470,-296.354587442
1HUR_A_471,-297.685380517
1HUR_A_472,-296.497342346
1HUR_A_473,-296.705873826
1HUR_A_474,-296.400161705
1HUR_A_475,-297.254734036
1HUR_A_476,-295.797571133
1HUR_A_477,-295.454789965
1HUR_A_478,-296.302868889
