PDB	mean_entropy_method_rosetta	mean_entropy_method_evolved	mean_entropy_split_natural
1B4T	1.44756930918	1.54640461546	1.81504131046
1CI0	1.69231454412	1.56064785019	2.02263438723
1EFV	1.33374564655	1.22190801843	2.13302830265
1G58	1.58019734241	1.54126102189	2.46916512273
1GV3	2.01450242652	1.56974273441	2.36733189158
1HUJ	1.95205626264	1.48461066414	1.86387869037
1HUR	1.27847085548	1.30559844646	2.0796902343
1IBS	1.3120322562	1.31635109744	2.733216964
1JLW	1.61846112915	1.17635947057	2.11547072159
1KY2	1.26820103323	1.37511353206	1.82184408796
1KZL	1.38551358387	1.26417097784	2.37434630139
1M3U	1.563211889	1.33191066088	2.12076591171
1MOZ	1.4509767636	1.17862323153	2.18006085679
1OKC	1.9346591995	1.1135789704	1.67292720389
1PV1	1.4023600185	1.31300813778	2.23462917061
1QMV	1.38779092333	1.51739185077	2.05808403334
1R6M	1.42700480797	1.23528210419	1.95879427125
1RII	1.28801403368	1.5373974936	2.15838580986
1V9S	1.25106637292	1.19228253431	3.05102761286
1W7W	1.48335463848	1.07914739053	2.05991592763
1X1O	1.3208593174	1.50896343645	2.72636720332
1XTD	1.12069181873	1.06938402154	2.18969863123
1YPI	1.42676526909	1.35479361314	2.21218046967
1YSB	1.49693340807	1.20216407086	1.84077712153
1ZNN	1.63045790446	1.42635292008	1.57616992607
1ZWK	1.66514486283	1.22701125109	1.87976659477
2A84	1.59523997497	1.58594162203	2.9129380343
2AIU	1.05567878774	1.083984428	2.05940126995
2BCG	1.35690998853	1.30717401015	1.95493268522
2BR9	1.62074017216	1.16976557607	1.5969649848
2CFE	1.46807777229	1.78896359061	1.88890203719
2CJM	1.64213341528	1.35608826866	1.94453743452
2CNV	1.85118575779	1.55224695923	2.15735995084
2ESF	1.52575437179	1.11119272963	2.43314606688
2EU8	1.60148252425	1.28541134044	1.63741168114
2FLI	1.56107761126	1.44750718436	2.56112566572
2G0N	1.83705587979	1.41937424871	1.97069943794
2GV5	1.31734361654	1.05944797898	1.62251199841
