PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	split_mean_KL	cor_entropy_icn	cor_entropy_iwcn
1B4T	A	0.271864567477	3.62347196064	0.544242712187	0.139394594864	0.389848719043	0.429871292816
1CI0	A	0.286064887526	4.10645350892	0.484516052272	0.19598351158	0.410722327102	0.40844444232
1EFV	B	0.30072727118	2.64064425529	0.247415855781	0.156344474728	0.177795198358	0.195750481016
1G58	B	0.240971720328	3.3890122991	0.378392884936	0.117529606253	0.27029582134	0.291573340761
1GV3	A	0.234670622191	3.59221774906	0.463500316995	0.160168576843	0.388406322736	0.393241632607
1HUJ	A	0.229433926429	3.50943010003	0.466783352517	0.260410212572	0.371653989047	0.496056735272
1HUR	A	0.257334788616	3.21812445265	0.390744999052	0.175652793992	0.327177698095	0.303990102978
1IBS	A	0.23927975617	3.69408890841	0.338938294916	0.0903150564926	0.162524119941	0.239203071515
1JLW	A	0.252546244352	2.85200869542	0.266546942198	0.263346568109	0.210681674748	0.202830254027
1KY2	A	0.277746549113	3.28524958773	0.449322041986	0.331320301141	0.287188522783	0.357242435525
1KZL	A	0.272263998943	3.95570063907	0.400142786485	0.281779774382	0.239113884985	0.300433608742
1M3U	A	0.216935327278	3.49461215239	0.482612739937	0.201422259894	0.394931369202	0.46762416051
1MOZ	A	0.24925475052	3.24230631437	0.329402053163	0.224735314111	0.205339006754	0.20199595342
1OKC	A	0.273555885293	2.84833371031	0.541111232469	0.224108894703	0.465954330152	0.516378327382
1PV1	A	0.214651335954	3.85604478671	0.55131596457	0.204445107127	0.447678331903	0.499454723434
1QMV	A	0.267037249942	3.05238185292	0.418764113268	0.124076435072	0.302466708933	0.29941385026
1R6M	A	0.251870117166	3.66977111811	0.444197488309	0.0805274295347	0.263994695507	0.385407270497
1RII	A	0.238112161049	3.64143793171	0.371628468312	0.130648901378	0.310763823255	0.338321522714
1V9S	B	0.291048527792	3.45201199299	0.212322047328	0.109612198341	0.227290325253	0.279628868059
1W7W	B	0.28605603807	3.39337656672	0.457927107819	0.123141185482	0.447155685801	0.461325482377
1X1O	B	0.259761605593	4.19318882544	0.310540190784	0.182510337923	0.23727289812	0.291809109531
1XTD	A	0.359417870806	2.74365075628	-0.0250986882159	0.159655420367	-0.110016992366	-0.11710773786
1YPI	A	0.249239643811	3.7358956297	0.340859831819	0.150484252276	0.193090445153	0.309632219728
1YSB	A	0.244461153636	3.01897902706	0.406679796839	0.250208368443	0.277531907981	0.306036407577
1ZNN	A	0.24831884401	2.75850401503	0.438543636232	0.161160326477	0.334354973498	0.492874867602
1ZWK	A	0.260574665389	3.10495079883	0.29587797806	0.18672045752	0.27153417194	0.336734351626
2A84	A	0.263706110583	4.30585443758	0.347897517877	0.238176840724	0.210558861904	0.317674023918
2AIU	A	0.311907544476	2.73466671652	0.355053329834	0.202654692208	0.239118521904	0.216777579122
2BCG	Y	0.294191626365	4.28740740892	0.379566096021	0.18235485317	0.293541518693	0.363830489795
2BR9	A	0.268165763329	3.16816956907	0.350379289775	0.193643931102	0.323665992791	0.351570710061
2CFE	A	0.243569700844	3.16488260045	0.402523978683	0.0730990788075	0.349185053908	0.371407403821
2CJM	C	0.253074315573	3.56537974498	0.434853548261	0.159518510288	0.355732204035	0.380992141214
2CNV	A	0.252445096167	3.95132394823	0.447448365321	0.170205810909	0.412542155091	0.478567257059
2ESF	A	0.286815097759	4.00369850675	0.352410686778	0.203577030558	0.299685755905	0.363592957364
2EU8	A	0.266040799893	3.35554221015	0.537134486736	0.193762255981	0.439753192198	0.435349906443
2FLI	A	0.231035159097	3.86209136187	0.414536460431	0.108721145706	0.393722783489	0.485770816158
2G0N	B	0.263307149214	3.54915799297	0.428395064204	0.195833569457	0.374034811532	0.380866836395
2GV5	D	0.367905374418	3.05831795862	0.29141498459	0.258806410737	0.161755499216	0.216227932908
