PDB,Rosetta Score
1JLW_A_1,-425.09808398
1JLW_A_10,-423.604432445
1JLW_A_100,-423.6676033
1JLW_A_101,-423.487854181
1JLW_A_102,-424.496532165
1JLW_A_103,-423.519026849
1JLW_A_104,-423.033510443
1JLW_A_105,-424.330653931
1JLW_A_106,-423.490161309
1JLW_A_107,-423.614920178
1JLW_A_108,-423.561155118
1JLW_A_109,-423.760810613
1JLW_A_11,-423.603212825
1JLW_A_110,-424.012614103
1JLW_A_111,-424.214921895
1JLW_A_112,-424.257461329
1JLW_A_113,-424.408371271
1JLW_A_114,-423.945929132
1JLW_A_115,-424.137593495
1JLW_A_116,-423.674237304
1JLW_A_117,-423.693570838
1JLW_A_118,-423.970608668
1JLW_A_119,-423.556920608
1JLW_A_12,-423.590687398
1JLW_A_120,-424.044057053
1JLW_A_121,-423.425483897
1JLW_A_122,-423.29237208
1JLW_A_123,-423.940952809
1JLW_A_124,-424.23400126
1JLW_A_125,-423.467710465
1JLW_A_126,-424.284377005
1JLW_A_127,-423.422689898
1JLW_A_128,-423.635252001
1JLW_A_129,-424.742394056
1JLW_A_13,-424.013379413
1JLW_A_130,-423.079641281
1JLW_A_131,-423.292853124
1JLW_A_132,-424.158061708
1JLW_A_133,-423.63403556
1JLW_A_134,-423.660796961
1JLW_A_135,-423.775533615
1JLW_A_136,-424.719064613
1JLW_A_137,-423.645031415
1JLW_A_138,-423.71100317
1JLW_A_139,-423.729047858
1JLW_A_14,-423.390749736
1JLW_A_140,-423.0221113
1JLW_A_141,-424.097872322
1JLW_A_142,-424.08178279
1JLW_A_143,-423.947557016
1JLW_A_144,-424.120601831
1JLW_A_145,-424.148860168
1JLW_A_146,-424.01755481
1JLW_A_147,-423.748443944
1JLW_A_148,-423.661641469
1JLW_A_149,-423.552367247
1JLW_A_15,-423.572283288
1JLW_A_150,-424.487782195
1JLW_A_151,-424.034585554
1JLW_A_152,-424.565481576
1JLW_A_153,-424.722485205
1JLW_A_154,-423.491344364
1JLW_A_155,-423.226118096
1JLW_A_156,-423.92692026
1JLW_A_157,-424.527827047
1JLW_A_158,-423.663497435
1JLW_A_159,-423.613081454
1JLW_A_16,-425.389330046
1JLW_A_160,-423.781361358
1JLW_A_161,-423.690708083
1JLW_A_162,-423.991752863
1JLW_A_163,-423.423406571
1JLW_A_164,-423.109304856
1JLW_A_165,-424.196203826
1JLW_A_166,-424.459835041
1JLW_A_167,-423.601998006
1JLW_A_168,-423.357023873
1JLW_A_169,-424.546324223
1JLW_A_17,-423.541119522
1JLW_A_170,-424.59568102
1JLW_A_171,-423.884337864
1JLW_A_172,-423.72051656
1JLW_A_173,-424.181338033
1JLW_A_174,-423.585519742
1JLW_A_175,-423.56303852
1JLW_A_176,-424.190181442
1JLW_A_177,-423.695852242
1JLW_A_178,-424.053700709
1JLW_A_179,-423.202512055
1JLW_A_18,-424.609818906
1JLW_A_180,-423.997011487
1JLW_A_181,-423.729254227
1JLW_A_182,-423.90558868
1JLW_A_183,-423.734040407
1JLW_A_184,-424.06479239
1JLW_A_185,-423.979082583
1JLW_A_186,-423.382695988
1JLW_A_187,-423.859177636
1JLW_A_188,-424.124025967
1JLW_A_189,-424.039912828
1JLW_A_19,-423.746781162
1JLW_A_190,-424.103398231
1JLW_A_191,-423.436250572
1JLW_A_192,-424.956075238
1JLW_A_193,-423.219055239
1JLW_A_194,-423.58239106
1JLW_A_195,-423.285317594
1JLW_A_196,-424.354001848
1JLW_A_197,-423.537679889
1JLW_A_198,-423.886920382
1JLW_A_199,-423.058856826
1JLW_A_2,-423.524279073
1JLW_A_20,-424.654270076
1JLW_A_200,-423.562988972
1JLW_A_201,-424.330934553
1JLW_A_202,-424.428909604
1JLW_A_203,-423.684914154
1JLW_A_204,-424.510108852
1JLW_A_205,-424.718148695
1JLW_A_206,-424.109360758
1JLW_A_207,-424.398142667
1JLW_A_208,-423.433394911
1JLW_A_209,-423.84724139
1JLW_A_21,-423.653974831
1JLW_A_210,-423.359910488
1JLW_A_211,-424.652107708
1JLW_A_212,-425.016835287
1JLW_A_213,-423.469842751
1JLW_A_214,-424.413486455
1JLW_A_215,-423.202417294
1JLW_A_216,-423.535522179
1JLW_A_217,-424.232668459
1JLW_A_218,-424.020885267
1JLW_A_219,-423.930284459
1JLW_A_22,-423.245035936
1JLW_A_220,-423.728887689
1JLW_A_221,-423.320315335
1JLW_A_222,-424.063424574
1JLW_A_223,-423.181590586
1JLW_A_224,-424.080644978
1JLW_A_225,-423.746995016
1JLW_A_226,-424.059703163
1JLW_A_227,-424.434541795
1JLW_A_228,-423.603808262
1JLW_A_229,-423.342615233
1JLW_A_23,-424.237160469
1JLW_A_230,-423.816862713
1JLW_A_231,-423.899772531
1JLW_A_232,-423.587765621
1JLW_A_233,-423.851036308
1JLW_A_234,-424.681511947
1JLW_A_235,-424.18217062
1JLW_A_236,-425.010022747
1JLW_A_237,-424.172742723
1JLW_A_238,-423.543323198
1JLW_A_239,-423.906055398
1JLW_A_24,-423.723955602
1JLW_A_240,-423.973394361
1JLW_A_241,-424.167257903
1JLW_A_242,-423.590130651
1JLW_A_243,-423.986110692
1JLW_A_244,-423.755418516
1JLW_A_245,-423.912658791
1JLW_A_246,-424.099954098
1JLW_A_247,-424.01480972
1JLW_A_248,-423.622125989
1JLW_A_249,-423.408331722
1JLW_A_25,-423.845045697
1JLW_A_250,-424.833621099
1JLW_A_251,-422.999583416
1JLW_A_252,-423.659744032
1JLW_A_253,-424.681196687
1JLW_A_254,-424.101630858
1JLW_A_255,-423.601790751
1JLW_A_256,-424.038471457
1JLW_A_257,-423.780097982
1JLW_A_258,-424.658501349
1JLW_A_259,-423.723214894
1JLW_A_26,-424.279498404
1JLW_A_260,-423.747699914
1JLW_A_261,-422.748122796
1JLW_A_262,-424.145343402
1JLW_A_263,-423.667141444
1JLW_A_264,-424.399371917
1JLW_A_265,-423.619711216
1JLW_A_266,-424.302240189
1JLW_A_267,-423.697012993
1JLW_A_268,-425.061040904
1JLW_A_269,-423.388604382
1JLW_A_27,-424.104017491
1JLW_A_270,-425.102563553
1JLW_A_271,-424.723278139
1JLW_A_272,-423.438225934
1JLW_A_273,-423.731389
1JLW_A_274,-424.144357905
1JLW_A_275,-424.059741965
1JLW_A_276,-423.517837396
1JLW_A_277,-424.033049203
1JLW_A_278,-423.637546202
1JLW_A_279,-424.025472023
1JLW_A_28,-423.657511971
1JLW_A_280,-424.61722014
1JLW_A_281,-423.903990285
1JLW_A_282,-423.384130105
1JLW_A_283,-423.967004847
1JLW_A_284,-423.456042997
