PDB,Rosetta Score
1HUR_A_1,-306.394751516
1HUR_A_10,-306.227672702
1HUR_A_100,-306.555308446
1HUR_A_101,-306.451921801
1HUR_A_102,-306.855109195
1HUR_A_103,-305.996886223
1HUR_A_104,-305.777610147
1HUR_A_105,-306.235882058
1HUR_A_106,-306.151552018
1HUR_A_107,-305.47708437
1HUR_A_108,-305.589480343
1HUR_A_109,-306.218808415
1HUR_A_11,-306.593848787
1HUR_A_110,-305.367220707
1HUR_A_111,-305.90273713
1HUR_A_112,-305.916641215
1HUR_A_113,-305.853064416
1HUR_A_114,-306.324653921
1HUR_A_115,-306.786608852
1HUR_A_116,-306.42916109
1HUR_A_117,-305.803964193
1HUR_A_118,-306.147734847
1HUR_A_119,-306.365658276
1HUR_A_12,-305.990957674
1HUR_A_120,-306.14341195
1HUR_A_121,-305.95655894
1HUR_A_122,-305.847623464
1HUR_A_123,-306.632040711
1HUR_A_124,-306.043312547
1HUR_A_125,-307.034403769
1HUR_A_126,-305.423932942
1HUR_A_127,-306.134576172
1HUR_A_128,-306.060558811
1HUR_A_129,-306.176608032
1HUR_A_13,-307.619134461
1HUR_A_130,-305.494204503
1HUR_A_131,-306.249070951
1HUR_A_132,-307.186799635
1HUR_A_133,-306.109439761
1HUR_A_134,-306.922551174
1HUR_A_135,-305.9693616
1HUR_A_136,-306.790240579
1HUR_A_137,-305.758815952
1HUR_A_138,-305.644110945
1HUR_A_139,-305.862151002
1HUR_A_14,-305.753312579
1HUR_A_140,-305.287835743
1HUR_A_141,-305.932922591
1HUR_A_142,-306.295273247
1HUR_A_143,-306.439656061
1HUR_A_144,-305.845073864
1HUR_A_145,-305.388340276
1HUR_A_146,-306.321894404
1HUR_A_147,-306.79980554
1HUR_A_148,-305.590175953
1HUR_A_149,-306.416343939
1HUR_A_15,-305.807147321
1HUR_A_150,-305.965297519
1HUR_A_151,-305.424317078
1HUR_A_152,-305.506874194
1HUR_A_153,-306.702133096
1HUR_A_154,-306.148785431
1HUR_A_155,-306.426167406
1HUR_A_156,-305.947188116
1HUR_A_157,-305.724735412
1HUR_A_158,-306.524581182
1HUR_A_159,-305.940108094
1HUR_A_16,-306.198575799
1HUR_A_160,-305.190035123
1HUR_A_161,-306.048492895
1HUR_A_162,-306.591732186
1HUR_A_163,-306.018240988
1HUR_A_164,-305.816801862
1HUR_A_165,-306.674795636
1HUR_A_166,-306.007970783
1HUR_A_167,-305.717151271
1HUR_A_168,-305.776244844
1HUR_A_169,-305.621174389
1HUR_A_17,-305.565262907
1HUR_A_170,-306.223176646
1HUR_A_171,-306.214201259
1HUR_A_172,-305.889223701
1HUR_A_173,-306.403747721
1HUR_A_174,-306.588311845
1HUR_A_175,-306.625305984
1HUR_A_176,-305.932599747
1HUR_A_177,-305.744204607
1HUR_A_178,-305.590844637
1HUR_A_179,-305.785110219
1HUR_A_18,-306.465617177
1HUR_A_180,-306.11501427
1HUR_A_181,-305.74255476
1HUR_A_182,-305.790612757
1HUR_A_183,-305.80454639
1HUR_A_184,-306.140103844
1HUR_A_185,-306.514785459
1HUR_A_186,-306.041914729
1HUR_A_187,-306.043330547
1HUR_A_188,-306.1167054
1HUR_A_189,-306.398147247
1HUR_A_19,-305.93769108
1HUR_A_190,-305.912839321
1HUR_A_191,-306.306622865
1HUR_A_192,-306.411134955
1HUR_A_193,-305.992401531
1HUR_A_194,-305.523605976
1HUR_A_195,-305.747950251
1HUR_A_196,-306.94237975
1HUR_A_197,-306.101854842
1HUR_A_198,-306.164757088
1HUR_A_199,-307.160195013
1HUR_A_2,-306.586895952
1HUR_A_20,-307.189247536
1HUR_A_200,-306.180732288
1HUR_A_201,-305.889169829
1HUR_A_202,-306.25682319
1HUR_A_203,-306.837485454
1HUR_A_204,-306.990276585
1HUR_A_205,-306.60430153
1HUR_A_206,-305.470315568
1HUR_A_207,-306.67341555
1HUR_A_208,-305.67852652
1HUR_A_209,-305.470388165
1HUR_A_21,-307.016308599
1HUR_A_210,-306.597094642
1HUR_A_211,-306.546064541
1HUR_A_212,-306.368268374
1HUR_A_213,-306.130000316
1HUR_A_214,-306.284659577
1HUR_A_215,-306.230243775
1HUR_A_216,-305.432121693
1HUR_A_217,-305.821916535
1HUR_A_218,-306.016334052
1HUR_A_219,-306.281909012
1HUR_A_22,-306.275107317
1HUR_A_220,-305.992702023
1HUR_A_221,-306.16405925
1HUR_A_222,-306.082275591
1HUR_A_223,-305.864168546
1HUR_A_224,-306.219543902
1HUR_A_225,-306.660120473
1HUR_A_226,-306.16751778
1HUR_A_227,-305.985677306
1HUR_A_228,-305.547897456
1HUR_A_229,-306.140708877
1HUR_A_23,-305.943930939
1HUR_A_230,-306.843174318
1HUR_A_231,-305.532218561
1HUR_A_232,-306.287130823
1HUR_A_233,-306.78351796
1HUR_A_234,-306.483610692
1HUR_A_235,-305.713145561
1HUR_A_236,-306.097502242
1HUR_A_237,-306.625417685
1HUR_A_238,-305.303139336
1HUR_A_239,-306.020501657
1HUR_A_24,-305.924274668
1HUR_A_240,-305.602737227
1HUR_A_241,-305.843260489
1HUR_A_242,-305.201748443
1HUR_A_243,-305.578440082
1HUR_A_244,-306.224802731
1HUR_A_245,-305.938290662
1HUR_A_246,-306.724063986
1HUR_A_247,-306.470308134
1HUR_A_248,-305.602325974
1HUR_A_249,-305.496996322
1HUR_A_25,-305.8378099
1HUR_A_250,-305.663085617
1HUR_A_251,-306.650151961
1HUR_A_252,-305.341716198
1HUR_A_253,-305.894558068
1HUR_A_254,-306.896174852
1HUR_A_255,-305.640294526
1HUR_A_256,-306.496279538
1HUR_A_257,-306.288251605
1HUR_A_258,-306.182159266
1HUR_A_259,-305.573508067
1HUR_A_26,-305.966235665
1HUR_A_260,-306.456173364
1HUR_A_261,-305.824607571
1HUR_A_262,-305.929285639
1HUR_A_263,-306.655295045
1HUR_A_264,-306.527973853
1HUR_A_265,-306.197956452
1HUR_A_266,-306.212398232
1HUR_A_267,-306.539781476
1HUR_A_268,-305.711398406
1HUR_A_269,-306.273362155
1HUR_A_27,-306.069975969
1HUR_A_270,-305.931790303
1HUR_A_271,-305.586848619
1HUR_A_272,-306.02543728
1HUR_A_273,-305.795720786
1HUR_A_274,-305.985703086
1HUR_A_275,-305.130043503
1HUR_A_276,-305.447854745
1HUR_A_277,-306.208545643
1HUR_A_278,-305.984549688
1HUR_A_279,-306.331849949
1HUR_A_28,-305.666324553
1HUR_A_280,-306.225321456
1HUR_A_281,-305.776171002
1HUR_A_282,-305.63344513
1HUR_A_283,-305.964408037
1HUR_A_284,-305.601520366
1HUR_A_285,-306.589097927
1HUR_A_286,-306.254391429
1HUR_A_287,-306.463480892
1HUR_A_288,-305.974018471
1HUR_A_289,-306.879229165
1HUR_A_29,-306.433124631
1HUR_A_290,-305.487692605
1HUR_A_291,-306.314305887
1HUR_A_292,-306.006974889
1HUR_A_293,-306.67652589
1HUR_A_294,-305.633891084
1HUR_A_295,-305.362741622
1HUR_A_296,-306.224915764
1HUR_A_297,-305.990316312
1HUR_A_298,-305.790410349
1HUR_A_299,-305.947578362
1HUR_A_3,-306.282232623
1HUR_A_30,-305.635111302
1HUR_A_300,-305.362639847
1HUR_A_301,-307.008076266
1HUR_A_302,-305.347632897
1HUR_A_303,-306.186925839
1HUR_A_304,-305.664295603
1HUR_A_305,-305.875419363
1HUR_A_306,-306.579856042
1HUR_A_307,-305.897411838
1HUR_A_308,-305.900777419
1HUR_A_309,-305.785832922
1HUR_A_31,-306.018899039
1HUR_A_310,-305.639765113
1HUR_A_311,-306.563675096
1HUR_A_312,-305.093247417
1HUR_A_313,-306.04108788
1HUR_A_314,-305.835380917
1HUR_A_315,-306.23470815
1HUR_A_316,-306.18304287
1HUR_A_317,-305.821348366
1HUR_A_318,-306.02171379
1HUR_A_319,-305.933349123
1HUR_A_32,-305.598450943
1HUR_A_320,-305.436883715
1HUR_A_321,-306.533267844
1HUR_A_322,-305.726199754
1HUR_A_323,-305.783002432
1HUR_A_324,-306.262441625
1HUR_A_325,-307.023896553
1HUR_A_326,-305.92845602
1HUR_A_327,-306.924734397
1HUR_A_328,-305.933036375
1HUR_A_329,-306.570614834
1HUR_A_33,-306.069354837
1HUR_A_330,-305.83694769
1HUR_A_331,-305.743141677
1HUR_A_332,-307.134059076
1HUR_A_333,-305.507530696
1HUR_A_334,-305.781110686
1HUR_A_335,-306.223119665
1HUR_A_336,-305.995254711
1HUR_A_337,-305.27452166
1HUR_A_338,-306.248054388
1HUR_A_339,-307.079577114
1HUR_A_34,-305.532608941
1HUR_A_340,-305.328682672
1HUR_A_341,-305.419077394
1HUR_A_342,-305.603694533
1HUR_A_343,-306.250258083
1HUR_A_344,-306.388570093
1HUR_A_345,-305.80999807
1HUR_A_346,-305.927646294
1HUR_A_347,-306.005374461
1HUR_A_348,-305.799451825
1HUR_A_349,-305.084742351
1HUR_A_35,-306.662321136
1HUR_A_350,-306.301217442
1HUR_A_351,-306.022032238
1HUR_A_352,-305.247581027
1HUR_A_353,-306.737580326
1HUR_A_354,-306.972244763
1HUR_A_355,-305.727071911
1HUR_A_356,-305.654796635
1HUR_A_357,-306.460328434
