PDB,Rosetta Score
1XTD_A_1,-255.767463419
1XTD_A_10,-255.216656176
1XTD_A_100,-253.937895183
1XTD_A_101,-254.805510025
1XTD_A_102,-254.644122372
1XTD_A_103,-254.338896409
1XTD_A_104,-254.412194429
1XTD_A_105,-254.746215735
1XTD_A_106,-253.449207889
1XTD_A_107,-254.211025044
1XTD_A_108,-253.857990921
1XTD_A_109,-253.974007685
1XTD_A_11,-254.154572454
1XTD_A_110,-253.871122239
1XTD_A_111,-254.252790242
1XTD_A_112,-253.347163883
1XTD_A_113,-254.378200742
1XTD_A_114,-254.151071098
1XTD_A_115,-255.733356098
1XTD_A_116,-254.400770665
1XTD_A_117,-254.373243078
1XTD_A_118,-254.866480946
1XTD_A_119,-254.8012215
1XTD_A_12,-255.131068642
1XTD_A_120,-254.242188083
1XTD_A_121,-254.667369821
1XTD_A_122,-254.194059304
1XTD_A_123,-253.926584307
1XTD_A_124,-254.533892138
1XTD_A_125,-254.07615154
1XTD_A_126,-254.349212634
1XTD_A_127,-255.253097889
1XTD_A_128,-254.439324303
1XTD_A_129,-254.498976297
1XTD_A_13,-253.903439007
1XTD_A_130,-254.151189367
1XTD_A_131,-254.05576287
1XTD_A_132,-253.813072603
1XTD_A_133,-254.431452469
1XTD_A_134,-254.129044308
1XTD_A_135,-254.964745435
1XTD_A_136,-254.42608549
1XTD_A_137,-254.159493196
1XTD_A_138,-254.062623394
1XTD_A_139,-254.299368105
1XTD_A_14,-254.301953382
1XTD_A_140,-254.092149509
1XTD_A_141,-254.576830319
1XTD_A_142,-254.814396825
1XTD_A_143,-253.774543096
1XTD_A_144,-254.692820237
1XTD_A_145,-254.828894685
1XTD_A_146,-254.34619343
1XTD_A_147,-254.662580512
1XTD_A_148,-253.940671582
1XTD_A_149,-253.940473088
1XTD_A_15,-254.219480521
1XTD_A_150,-254.102018749
1XTD_A_151,-254.003889547
1XTD_A_152,-255.267099531
1XTD_A_153,-253.894516827
1XTD_A_154,-254.988979313
1XTD_A_155,-254.628985202
1XTD_A_156,-255.138507756
1XTD_A_157,-254.780159641
1XTD_A_158,-255.553712677
1XTD_A_159,-254.828113047
1XTD_A_16,-254.427784136
1XTD_A_160,-254.008542262
1XTD_A_161,-254.643558261
1XTD_A_162,-254.045279316
1XTD_A_163,-253.975805149
1XTD_A_164,-254.784206642
1XTD_A_165,-253.915614877
1XTD_A_166,-255.470844659
1XTD_A_167,-254.596722139
1XTD_A_168,-254.31040994
1XTD_A_169,-254.313018504
1XTD_A_17,-254.130710029
1XTD_A_170,-254.05860787
1XTD_A_171,-253.879521305
1XTD_A_172,-255.282357133
1XTD_A_173,-255.051498843
1XTD_A_174,-254.267152224
1XTD_A_175,-254.595960017
1XTD_A_176,-254.21926693
1XTD_A_177,-254.812037531
1XTD_A_178,-254.691062332
1XTD_A_179,-254.251412882
1XTD_A_18,-255.06835892
1XTD_A_180,-254.997977774
1XTD_A_181,-254.650827896
1XTD_A_182,-254.772432051
1XTD_A_183,-254.869192372
1XTD_A_184,-254.819675723
1XTD_A_185,-254.042464828
1XTD_A_186,-254.295679392
1XTD_A_187,-254.397233624
1XTD_A_188,-254.206224278
1XTD_A_189,-254.527293823
1XTD_A_19,-254.994268911
1XTD_A_190,-255.081680606
1XTD_A_191,-254.942563124
1XTD_A_192,-254.30320898
1XTD_A_193,-254.462202067
1XTD_A_194,-254.705552808
1XTD_A_195,-254.344806367
1XTD_A_196,-253.470370482
1XTD_A_197,-255.14811973
1XTD_A_198,-254.890731014
1XTD_A_199,-254.719916001
1XTD_A_2,-254.499077883
1XTD_A_20,-254.388265208
1XTD_A_200,-254.129666069
1XTD_A_201,-254.478893909
1XTD_A_202,-253.978201715
1XTD_A_203,-253.814028364
1XTD_A_204,-254.065688754
1XTD_A_205,-254.301235923
1XTD_A_206,-253.948123907
1XTD_A_207,-254.343699548
1XTD_A_208,-254.193985239
1XTD_A_209,-254.784168683
1XTD_A_21,-254.470180299
1XTD_A_210,-254.615946725
1XTD_A_211,-253.930428495
1XTD_A_212,-253.896767441
1XTD_A_213,-253.636122738
1XTD_A_214,-253.839591236
1XTD_A_215,-254.470930236
1XTD_A_216,-253.860494043
1XTD_A_217,-254.838544817
1XTD_A_218,-254.860907658
1XTD_A_219,-254.214484684
1XTD_A_22,-254.571140874
1XTD_A_220,-254.664146036
1XTD_A_221,-254.106148239
1XTD_A_222,-255.494108548
1XTD_A_223,-254.422710827
1XTD_A_224,-253.771200418
1XTD_A_225,-254.333315375
1XTD_A_226,-254.373539585
1XTD_A_227,-254.416022656
1XTD_A_228,-254.577999797
1XTD_A_229,-255.010946311
1XTD_A_23,-254.441912001
1XTD_A_230,-254.504836672
1XTD_A_231,-254.784092638
1XTD_A_232,-253.605216742
1XTD_A_233,-255.213141909
1XTD_A_234,-254.942022324
1XTD_A_235,-254.208672979
1XTD_A_236,-254.710173356
1XTD_A_237,-254.46696716
1XTD_A_238,-254.363047528
1XTD_A_239,-254.12641566
1XTD_A_24,-254.855421255
1XTD_A_240,-254.731568944
1XTD_A_241,-254.159202075
1XTD_A_242,-254.032925698
1XTD_A_243,-254.8416893
1XTD_A_244,-254.654254304
1XTD_A_245,-253.875648198
1XTD_A_246,-254.354330925
1XTD_A_247,-254.762756709
1XTD_A_248,-254.833249001
1XTD_A_249,-254.706317966
1XTD_A_25,-254.171495186
1XTD_A_250,-254.571877037
1XTD_A_251,-254.363839553
1XTD_A_252,-254.068740399
1XTD_A_253,-255.420410019
1XTD_A_254,-253.840746024
1XTD_A_255,-254.093231027
1XTD_A_256,-254.569369479
1XTD_A_257,-255.01650705
1XTD_A_258,-254.174519488
1XTD_A_259,-254.69441876
1XTD_A_26,-254.461963484
1XTD_A_260,-254.84502376
1XTD_A_261,-255.02265827
1XTD_A_262,-255.059056639
1XTD_A_263,-254.53875554
1XTD_A_264,-253.937639474
1XTD_A_265,-255.06700077
1XTD_A_266,-254.087510648
1XTD_A_267,-253.952158521
1XTD_A_268,-254.233141607
1XTD_A_269,-254.43190616
1XTD_A_27,-254.69439607
1XTD_A_270,-254.06689517
1XTD_A_271,-254.577994904
1XTD_A_272,-254.714180306
1XTD_A_273,-254.263997175
1XTD_A_274,-254.555982557
1XTD_A_275,-254.590128658
1XTD_A_276,-254.208222948
1XTD_A_277,-254.303633733
1XTD_A_278,-253.71706304
1XTD_A_279,-254.341253815
1XTD_A_28,-254.259210758
1XTD_A_280,-255.541724018
1XTD_A_281,-254.175252539
1XTD_A_282,-254.235414799
1XTD_A_283,-254.319829222
1XTD_A_284,-255.142043768
1XTD_A_285,-255.001875966
1XTD_A_286,-253.903691163
1XTD_A_287,-254.412171684
1XTD_A_288,-254.867534667
1XTD_A_289,-255.318855653
1XTD_A_29,-254.083990649
1XTD_A_290,-255.136380513
1XTD_A_291,-254.037778689
1XTD_A_292,-254.097474448
1XTD_A_293,-254.486199294
1XTD_A_294,-254.203074344
1XTD_A_295,-254.464975245
1XTD_A_296,-254.843557775
1XTD_A_297,-254.337521996
1XTD_A_298,-255.239755693
1XTD_A_299,-254.146145848
1XTD_A_3,-254.259131762
1XTD_A_30,-254.854249063
1XTD_A_300,-254.068065511
1XTD_A_301,-254.29114234
1XTD_A_302,-255.452077072
1XTD_A_303,-254.961716806
1XTD_A_304,-254.764745542
1XTD_A_305,-255.06010611
1XTD_A_306,-255.038574926
1XTD_A_307,-254.331496656
1XTD_A_308,-254.218790281
1XTD_A_309,-253.928646445
1XTD_A_31,-254.750431549
1XTD_A_310,-254.983388238
1XTD_A_311,-255.081130825
1XTD_A_312,-255.105582614
1XTD_A_313,-254.454742666
1XTD_A_314,-254.46417297
1XTD_A_315,-254.276818958
1XTD_A_316,-253.954143295
1XTD_A_317,-255.257042843
1XTD_A_318,-254.86570222
1XTD_A_319,-254.804131114
1XTD_A_32,-253.810545128
1XTD_A_320,-254.314297142
1XTD_A_321,-254.579290297
1XTD_A_322,-254.385367838
1XTD_A_323,-254.232457535
1XTD_A_324,-254.916525728
1XTD_A_325,-253.933920723
1XTD_A_326,-255.430809066
1XTD_A_327,-254.838424834
1XTD_A_328,-255.151865617
1XTD_A_329,-254.369901177
1XTD_A_33,-254.510245088
1XTD_A_330,-254.424591208
1XTD_A_331,-254.637386151
1XTD_A_332,-253.662124096
1XTD_A_333,-254.744951004
1XTD_A_334,-255.08071338
1XTD_A_335,-254.267766589
1XTD_A_336,-254.992850693
1XTD_A_337,-255.036110964
1XTD_A_338,-254.244979974
1XTD_A_339,-254.579811016
1XTD_A_34,-253.732285271
1XTD_A_340,-253.826996029
1XTD_A_341,-253.737367334
1XTD_A_342,-254.181913168
1XTD_A_343,-255.456079135
1XTD_A_344,-254.613094721
1XTD_A_345,-256.034664784
1XTD_A_346,-254.306731048
1XTD_A_347,-254.646394806
1XTD_A_348,-254.315484375
1XTD_A_349,-253.817181732
1XTD_A_35,-255.061165133
1XTD_A_350,-254.166106745
1XTD_A_351,-254.143404531
1XTD_A_352,-254.1274231
1XTD_A_353,-254.75565508
1XTD_A_354,-254.508490428
1XTD_A_355,-254.215026703
1XTD_A_356,-254.045487936
1XTD_A_357,-254.404752909
1XTD_A_358,-254.77810126
1XTD_A_359,-255.165174014
1XTD_A_36,-254.88601008
1XTD_A_360,-254.050557424
1XTD_A_361,-254.807641564
1XTD_A_362,-254.157600983
1XTD_A_363,-254.802774125
1XTD_A_364,-254.524294295
1XTD_A_365,-254.386718313
1XTD_A_366,-254.35309332
1XTD_A_367,-254.491342961
1XTD_A_368,-254.38396031
1XTD_A_369,-253.69498135
1XTD_A_37,-255.286018649
1XTD_A_370,-253.41707984
1XTD_A_371,-254.53863384
1XTD_A_372,-254.058619169
1XTD_A_373,-254.962209132
1XTD_A_374,-254.791872569
1XTD_A_375,-254.250720762
1XTD_A_376,-254.859899689
1XTD_A_377,-253.974975337
1XTD_A_378,-254.716799142
1XTD_A_379,-254.553750476
1XTD_A_38,-254.030620596
1XTD_A_380,-254.305765042
1XTD_A_381,-254.388058331
1XTD_A_382,-254.105605
1XTD_A_383,-254.300914011
1XTD_A_384,-254.410499224
1XTD_A_385,-255.200398721
1XTD_A_386,-255.106902781
1XTD_A_387,-254.501402985
1XTD_A_388,-254.328807389
1XTD_A_389,-253.775870449
1XTD_A_39,-255.033241875
1XTD_A_390,-254.382346736
1XTD_A_391,-254.399645165
1XTD_A_392,-254.385604768
1XTD_A_393,-254.758585298
1XTD_A_394,-254.89861535
1XTD_A_395,-254.187496307
1XTD_A_396,-253.799509022
1XTD_A_397,-253.971833396
1XTD_A_398,-254.332387708
1XTD_A_399,-255.160435987
1XTD_A_4,-255.087590018
1XTD_A_40,-255.179422682
1XTD_A_400,-253.952055062
1XTD_A_401,-254.71933118
1XTD_A_402,-255.320959639
1XTD_A_403,-254.167198739
1XTD_A_404,-254.614229666
1XTD_A_405,-254.197877886
1XTD_A_406,-254.482083942
1XTD_A_407,-254.677227936
1XTD_A_408,-254.246148433
1XTD_A_409,-254.672436087
1XTD_A_41,-254.343105304
1XTD_A_410,-255.232640678
1XTD_A_411,-254.722958732
1XTD_A_412,-253.376621697
1XTD_A_413,-255.104773251
1XTD_A_414,-254.272788985
1XTD_A_415,-254.727893977
1XTD_A_416,-252.17799959
1XTD_A_417,-254.582873076
1XTD_A_418,-253.682610155
1XTD_A_419,-254.405427929
1XTD_A_42,-255.17598552
1XTD_A_420,-253.726496335
1XTD_A_421,-253.980681666
1XTD_A_422,-254.803380085
1XTD_A_423,-254.423869877
1XTD_A_424,-254.53699724
1XTD_A_425,-255.02937095
1XTD_A_426,-254.641062714
1XTD_A_427,-254.651330686
1XTD_A_428,-254.837053856
1XTD_A_429,-254.87972512
1XTD_A_43,-254.124864042
1XTD_A_430,-255.362207009
1XTD_A_431,-254.064958981
1XTD_A_432,-254.403954335
1XTD_A_433,-255.745122223
1XTD_A_434,-252.130711309
1XTD_A_435,-254.824251088
1XTD_A_436,-254.749054255
1XTD_A_437,-255.69808961
1XTD_A_438,-254.200768447
1XTD_A_439,-254.102875068
1XTD_A_44,-255.27653992
1XTD_A_440,-254.032767439
1XTD_A_441,-254.270865806
1XTD_A_442,-254.780170629
1XTD_A_443,-255.489885469
1XTD_A_444,-255.117977362
1XTD_A_445,-253.908471473
1XTD_A_446,-254.236196771
1XTD_A_447,-254.325930845
1XTD_A_448,-254.249790069
1XTD_A_449,-255.915017092
1XTD_A_45,-254.245288908
1XTD_A_450,-254.411210499
1XTD_A_451,-254.039434445
1XTD_A_452,-254.495396412
1XTD_A_453,-254.395868286
1XTD_A_454,-254.61992497
1XTD_A_455,-254.493518421
1XTD_A_456,-254.719518367
1XTD_A_457,-255.004627938
1XTD_A_458,-255.082775539
1XTD_A_459,-254.545488939
1XTD_A_46,-254.010861241
1XTD_A_460,-254.161897707
1XTD_A_461,-254.30920616
1XTD_A_462,-254.187478174
1XTD_A_463,-254.116851794
1XTD_A_464,-254.317761832
1XTD_A_465,-254.032551545
1XTD_A_466,-254.933729369
1XTD_A_467,-254.350956413
1XTD_A_468,-254.490654157
1XTD_A_469,-254.870989782
1XTD_A_47,-255.589580208
1XTD_A_470,-254.732460869
1XTD_A_471,-254.560818663
1XTD_A_472,-254.361540367
1XTD_A_473,-254.298994811
1XTD_A_474,-254.556324646
1XTD_A_475,-254.125106951
1XTD_A_476,-254.259069496
1XTD_A_477,-254.59793501
1XTD_A_478,-253.900489048
1XTD_A_479,-254.936242755
1XTD_A_48,-254.515712612
1XTD_A_480,-254.847385642
1XTD_A_481,-253.964770608
1XTD_A_482,-255.172407422
1XTD_A_483,-254.639209804
1XTD_A_484,-254.420413797
1XTD_A_485,-254.485391793
1XTD_A_486,-253.666231782
1XTD_A_487,-254.86426487
1XTD_A_488,-254.37698047
1XTD_A_489,-254.753039923
1XTD_A_49,-254.266677351
1XTD_A_490,-254.445006908
1XTD_A_491,-254.198304664
1XTD_A_492,-254.89668649
1XTD_A_493,-254.255038687
1XTD_A_494,-254.596880538
1XTD_A_495,-255.245816
