PDB	chain	natural_rosetta_corr	natural_evolved_corr	rosetta_evolved_corr
1B4T	A	0.270694280426	0.660871435686	0.505310761776
1CI0	A	-0.0140625358512	0.513821799867	0.199512752663
1EFV	B	0.0492636970128	0.190878103795	0.291248611124
1G58	B	0.102699747317	0.366838965192	0.430554596829
1GV3	A	0.0440956465805	0.428418008894	0.39379009573
1HUJ	A	0.0495852399882	0.399452099807	0.444820505391
1HUR	A	0.0956925416248	0.422150413501	0.384852014594
1IBS	A	0.0399877460654	0.236915331793	0.419223125224
1JLW	A	0.201078252928	0.228646125031	0.372647573778
1KY2	A	0.205512051897	0.545108822903	0.380935107357
1KZL	A	0.200246376368	0.448772880237	0.362377482208
1M3U	A	0.104756836009	0.484614426037	0.403174915377
1MOZ	A	0.138493386085	0.375432887862	0.446327170605
1OKC	A	-0.0714404559962	0.248934616651	0.356994825702
1PV1	A	0.0550688167897	0.500000247197	0.327182872203
1QMV	A	0.14336698417	0.46342655603	0.367650570698
1R6M	A	0.0225114441506	0.34586971445	0.404420111926
1RII	A	0.125535738021	0.393474719081	0.592535295886
1V9S	B	-0.00137964123979	0.238354312315	0.409844175371
1W7W	B	0.0545752743815	0.389085983161	0.333631304758
1X1O	B	0.123371255053	0.246409741565	0.513659362851
1XTD	A	0.179527416202	0.180410213048	0.453022691995
1YPI	A	0.0560577394136	0.470777765096	0.405297367107
1YSB	A	0.284759919855	0.370602727933	0.476964897614
1ZNN	A	0.189408449324	0.486542453181	0.495677520477
1ZWK	A	0.180759979113	0.353157804006	0.326429625573
2A84	A	0.0558121214754	0.318201569168	0.325416017794
2AIU	A	0.148405098641	0.521365441066	0.313307796389
2BCG	Y	0.237673893126	0.458160376387	0.310780805487
2BR9	A	0.0483570321033	0.317466134825	0.353639631488
2CFE	A	0.156360091067	0.492334131369	0.505768975059
2CJM	C	-0.0473925676838	0.455541718807	0.261563255345
2CNV	A	-0.0348950033082	0.390430489149	0.340049387533
2ESF	A	0.167478732851	0.419022749323	0.274885018899
2EU8	A	0.123894470338	0.418865048431	0.376940193312
2FLI	A	0.139458546871	0.387651809187	0.428997079008
2G0N	B	0.0553573420584	0.536411281305	0.1815309272
2GV5	D	0.037981388383	0.25418380966	0.378713151823
