PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	cor_entropy_icn	cor_entropy_iwcn
1B4T	A	0.271864567477	1.60533404453	0.0448493875312	3.30705419467	0.0123541618283	0.0386274036153
1CI0	A	0.286064887526	2.17888197308	-0.186445926102	4.26011827964	-0.195318356036	-0.237780178389
1EFV	B	0.30072727118	1.8868982823	0.024569562672	3.72806444339	-0.099480031582	-0.084814318381
1G58	B	0.240971720328	1.96701988411	0.0191505504853	3.58741640224	-0.088658953023	-0.0436504339694
1GV3	A	0.234670622191	2.13454483463	0.0251131672805	3.54320221798	-0.112811516084	-0.13373294731
1HUJ	A	0.229433926429	1.97643519857	-0.0516873732715	3.48125023686	-0.100310051809	-0.0825072349954
1HUR	A	0.257334788616	1.73106611942	0.0475387676323	3.73622744455	0.0441373959424	0.0686382549759
1IBS	A	0.23927975617	1.80988725607	0.150664806136	3.60468816408	-0.00185917681005	0.0283008363882
1JLW	A	0.252546244352	2.01074990137	-0.0207471234005	3.88217661667	-0.0123234302783	-5.31225152506e-05
1KY2	A	0.277746549113	1.83924636653	0.0796610021459	3.30851820385	-0.0619651507325	-0.0340084780053
1KZL	A	0.272263998943	1.68684654482	-0.00831540557028	3.94786340355	-0.0644589067446	-0.0470578722043
1M3U	A	0.216935327278	1.96816529757	-0.0267522512571	3.3488638498	-0.0917359536376	-0.117485214722
1MOZ	A	0.24925475052	1.97297643654	0.18299030305	3.61769779868	0.0506541685965	0.0424665750393
1OKC	A	0.273555885293	2.35318079391	-0.0846142986855	4.31798231675	-0.119462722797	-0.11197621037
1PV1	A	0.214651335954	1.67554955052	-0.0437953844242	4.01874072826	-0.122291667111	-0.112926514902
1QMV	A	0.267037249942	1.68827936425	-0.0323045496266	3.42469025677	-0.115216264005	-0.111808965757
1R6M	A	0.251870117166	1.84550454937	0.0723778037624	3.77809246467	-0.113922545201	-0.115638897407
1RII	A	0.238112161049	1.84439515332	0.0524243509003	3.29299864568	-0.0598213135504	-0.01117424969
1V9S	B	0.291048527792	1.80662947251	0.128970446721	3.98200127547	-0.0236362892748	-0.0175942865672
1W7W	B	0.28605603807	1.9623847919	0.0313614396489	3.86148697743	-0.0795803343971	-0.0397053620826
1X1O	B	0.259761605593	1.71485153754	0.0953483817202	3.74580557379	-0.0831227449849	-0.0798906630795
1XTD	A	0.359417870806	1.84346611833	0.0427556506432	4.14610182963	-0.068907846713	-0.0982349969032
1YPI	A	0.249239643811	1.93476518958	-0.00767715079924	3.79403553582	-0.0478579783176	-0.0692217213708
1YSB	A	0.244461153636	1.79417241111	0.0681411335736	3.52090656832	-0.0384003701691	0.00362588716301
1ZNN	A	0.24831884401	1.97702403947	-0.0397121972728	2.9704370505	-0.0735949522202	-0.0692309070454
1ZWK	A	0.260574665389	1.84419322485	-0.103852080511	3.5792494488	-0.151203348298	-0.159766266114
2A84	A	0.263706110583	2.01926823778	-0.0895247076573	3.83638814602	-0.222366963285	-0.2145148546
2AIU	A	0.311907544476	1.56157876048	-0.168179391381	3.28526518667	-0.046205845849	-0.0532599154844
2BCG	Y	0.294191626365	1.76693859167	-0.0261593268088	3.49940378371	-0.0715954588967	-0.0610944958523
2BR9	A	0.268165763329	2.28473235665	0.106458085495	3.56117553439	0.0174126850983	0.0764657640689
2CFE	A	0.243569700844	1.70429317227	0.030056205262	2.80134532378	-0.0176265775151	0.000807826864456
2CJM	C	0.253074315573	1.70053867648	-0.0708890858992	3.42213741518	-0.206992519199	-0.17940753279
2CNV	A	0.252445096167	2.01610846717	-0.0950167631327	3.53572528362	-0.177097509103	-0.214875036072
2ESF	A	0.286815097759	2.19846877561	0.0772150115513	3.68192862208	-0.0063283471432	0.00879753758779
2EU8	A	0.266040799893	2.10609507275	-0.0244338627501	3.37602520007	-0.0514179108934	-0.084635108654
2FLI	A	0.231035159097	1.86487723615	-0.0549193944167	3.63825903338	-0.118616539374	-0.0857133081695
2G0N	B	0.263307149214	2.1890636066	-0.102881596279	3.38707301603	-0.177627497821	-0.15442339217
2GV5	D	0.367905374418	2.05303361818	-0.0482348016057	3.51121067662	-0.141124230334	-0.139151458199
