PDB,Rosetta Score
1G58_B_1,-374.257119168
1G58_B_10,-375.373516643
1G58_B_100,-374.975116588
1G58_B_101,-374.536692938
1G58_B_102,-373.78033418
1G58_B_103,-375.47358244
1G58_B_104,-376.113817871
1G58_B_105,-373.4506527
1G58_B_106,-375.417427892
1G58_B_107,-372.802152538
1G58_B_108,-373.884174565
1G58_B_109,-374.666779186
1G58_B_11,-373.811171279
1G58_B_110,-373.845845322
1G58_B_111,-373.065948
1G58_B_112,-373.725914454
1G58_B_113,-373.867571811
1G58_B_114,-374.393987544
1G58_B_115,-373.548897258
1G58_B_116,-375.259645453
1G58_B_117,-372.582787648
1G58_B_118,-372.729129968
1G58_B_119,-374.446355583
1G58_B_12,-373.805658544
1G58_B_120,-374.232582616
1G58_B_121,-374.185578792
1G58_B_122,-374.798359078
1G58_B_123,-374.495673587
1G58_B_124,-374.033717435
1G58_B_125,-372.869337728
1G58_B_126,-373.653418144
1G58_B_127,-374.413518825
1G58_B_128,-372.959620636
1G58_B_129,-374.070901539
1G58_B_13,-374.174927336
1G58_B_130,-373.049691015
1G58_B_131,-373.939957755
1G58_B_132,-373.60102518
1G58_B_133,-376.490499859
1G58_B_134,-373.359841652
1G58_B_135,-374.254050203
1G58_B_136,-374.100956246
1G58_B_137,-373.760450549
1G58_B_138,-375.653642219
1G58_B_139,-375.847345165
1G58_B_14,-373.700649621
1G58_B_140,-374.06680743
1G58_B_141,-373.678016874
1G58_B_142,-374.287135723
1G58_B_143,-375.593120459
1G58_B_144,-373.996319327
1G58_B_145,-374.728264506
1G58_B_146,-373.782396155
1G58_B_147,-372.440677446
1G58_B_148,-373.984251965
1G58_B_149,-374.530113891
1G58_B_15,-373.415269117
1G58_B_150,-373.618764044
1G58_B_151,-373.395661241
1G58_B_152,-373.702968678
1G58_B_153,-374.824502395
1G58_B_154,-374.161390005
1G58_B_155,-374.126446591
1G58_B_156,-373.324178172
1G58_B_157,-373.243283589
1G58_B_158,-374.277397704
1G58_B_159,-373.056583892
1G58_B_16,-374.756573657
1G58_B_160,-373.926328905
1G58_B_161,-373.74240814
1G58_B_162,-374.517020074
1G58_B_163,-373.198736095
1G58_B_164,-374.741140173
1G58_B_165,-373.205719564
1G58_B_166,-373.067119351
1G58_B_167,-373.499889012
1G58_B_168,-373.514038559
1G58_B_169,-374.195541714
1G58_B_17,-372.815904444
1G58_B_170,-373.72169277
1G58_B_171,-373.134475022
1G58_B_172,-373.647193584
1G58_B_173,-373.461951321
1G58_B_174,-374.08919662
1G58_B_175,-373.824513345
1G58_B_176,-374.57282864
1G58_B_177,-374.401006933
1G58_B_178,-373.34979067
1G58_B_179,-375.517577892
1G58_B_18,-376.119144174
1G58_B_180,-373.140137138
1G58_B_181,-375.052740562
1G58_B_182,-375.451601056
1G58_B_183,-374.057959911
1G58_B_184,-373.629216092
1G58_B_185,-374.499343334
1G58_B_186,-373.641363643
1G58_B_187,-373.587158572
1G58_B_188,-372.996313198
1G58_B_189,-374.991399826
1G58_B_19,-373.580775171
1G58_B_190,-373.985082736
1G58_B_191,-374.81931255
1G58_B_192,-376.230235591
1G58_B_193,-372.939071516
1G58_B_194,-374.692469446
1G58_B_195,-374.311514868
1G58_B_196,-373.411349178
1G58_B_197,-373.330998948
1G58_B_198,-373.580695758
1G58_B_199,-373.732060282
1G58_B_2,-373.457019969
1G58_B_20,-373.343151083
1G58_B_200,-375.494641148
1G58_B_201,-374.374343409
1G58_B_202,-373.529114946
1G58_B_203,-375.412564376
1G58_B_204,-373.445825313
1G58_B_205,-374.49611536
1G58_B_206,-374.688901609
1G58_B_207,-373.858176821
1G58_B_208,-373.054033462
1G58_B_209,-373.133725297
1G58_B_21,-373.583188764
1G58_B_210,-375.34046981
1G58_B_211,-374.859626278
1G58_B_212,-373.900482743
1G58_B_213,-374.055628422
1G58_B_214,-373.716127477
1G58_B_215,-374.146613925
1G58_B_216,-373.120813029
1G58_B_217,-373.996650216
1G58_B_218,-374.21795054
1G58_B_219,-373.67507256
1G58_B_22,-374.639648371
1G58_B_220,-374.707192198
1G58_B_221,-374.319231403
1G58_B_222,-372.814667315
1G58_B_223,-374.333015226
1G58_B_224,-374.488607523
1G58_B_225,-373.78406103
1G58_B_226,-373.0437243
1G58_B_227,-373.225336776
1G58_B_228,-375.579283742
1G58_B_229,-372.910683982
1G58_B_23,-373.092104067
1G58_B_230,-374.57004644
1G58_B_231,-375.05213128
1G58_B_232,-373.979246928
1G58_B_233,-374.574935867
1G58_B_234,-373.432798636
1G58_B_235,-374.647175425
1G58_B_236,-373.035329013
1G58_B_237,-373.513793698
1G58_B_238,-373.037305358
1G58_B_239,-375.19211229
1G58_B_24,-375.595582496
1G58_B_240,-372.91582448
1G58_B_241,-373.455049246
1G58_B_242,-374.02571815
1G58_B_243,-374.279384442
1G58_B_244,-372.771554184
1G58_B_245,-373.356100058
1G58_B_246,-374.303304398
