PDB,Rosetta Score
1X1O_B_1,-566.926617214
1X1O_B_10,-566.665541288
1X1O_B_100,-566.169551064
1X1O_B_101,-566.863366241
1X1O_B_102,-566.954016884
1X1O_B_103,-565.634716014
1X1O_B_104,-565.431701866
1X1O_B_105,-565.783039666
1X1O_B_106,-566.737908448
1X1O_B_107,-566.814842892
1X1O_B_108,-566.206688165
1X1O_B_109,-566.684052334
1X1O_B_11,-567.600400853
1X1O_B_110,-568.677505965
1X1O_B_111,-567.388829497
1X1O_B_112,-566.649683543
1X1O_B_113,-566.778803558
1X1O_B_114,-567.314773755
1X1O_B_115,-567.36874469
1X1O_B_116,-565.169943398
1X1O_B_117,-567.324712372
1X1O_B_118,-568.179783957
1X1O_B_119,-566.865143206
1X1O_B_12,-566.729555891
1X1O_B_120,-568.812596468
1X1O_B_121,-567.047652427
1X1O_B_122,-566.521468062
1X1O_B_123,-566.429799092
1X1O_B_124,-566.101693376
1X1O_B_125,-568.147611704
1X1O_B_126,-567.792630792
1X1O_B_127,-565.984788729
1X1O_B_128,-565.908033161
1X1O_B_129,-566.468997047
1X1O_B_13,-566.007017408
1X1O_B_130,-566.004742571
1X1O_B_131,-566.550168438
1X1O_B_132,-567.730515072
1X1O_B_133,-566.553064133
1X1O_B_134,-567.353338056
1X1O_B_135,-566.224740885
1X1O_B_136,-565.932884031
1X1O_B_137,-567.210245632
1X1O_B_138,-567.361757645
1X1O_B_139,-566.859590848
1X1O_B_14,-566.771027691
1X1O_B_140,-566.563077213
1X1O_B_141,-566.06517594
1X1O_B_142,-566.116825532
1X1O_B_143,-565.049693088
1X1O_B_144,-566.378631656
1X1O_B_145,-567.618572326
1X1O_B_146,-566.090008072
1X1O_B_147,-565.896536464
1X1O_B_148,-565.803012496
1X1O_B_149,-565.907509742
1X1O_B_15,-567.23596824
1X1O_B_150,-567.489372736
1X1O_B_151,-566.838583224
1X1O_B_152,-566.190181454
1X1O_B_153,-566.943715332
1X1O_B_154,-567.410955184
1X1O_B_155,-565.919632092
1X1O_B_156,-567.457325453
1X1O_B_157,-567.358145182
1X1O_B_158,-566.089820848
1X1O_B_159,-567.054768504
1X1O_B_16,-566.374019283
1X1O_B_160,-565.23774265
1X1O_B_161,-567.985349274
1X1O_B_162,-566.136398483
1X1O_B_163,-569.575447792
1X1O_B_164,-566.609635306
1X1O_B_165,-566.33942678
1X1O_B_166,-565.54434683
1X1O_B_167,-565.831990918
1X1O_B_168,-566.79091342
1X1O_B_169,-566.850307552
1X1O_B_17,-566.197457465
1X1O_B_170,-565.825877621
1X1O_B_171,-566.867051634
1X1O_B_172,-567.104401424
1X1O_B_173,-567.608789499
1X1O_B_174,-566.296341844
1X1O_B_175,-566.832375632
1X1O_B_176,-566.768091945
1X1O_B_177,-566.202607644
1X1O_B_178,-566.705404641
1X1O_B_179,-566.557432852
1X1O_B_18,-566.39370504
1X1O_B_180,-567.700914959
1X1O_B_181,-565.877688273
1X1O_B_182,-565.735506018
1X1O_B_183,-566.997627707
1X1O_B_184,-566.431648252
1X1O_B_185,-567.09028888
1X1O_B_186,-566.434981763
1X1O_B_187,-565.733124463
1X1O_B_188,-565.73942867
1X1O_B_189,-566.713187651
1X1O_B_19,-566.494477538
1X1O_B_190,-566.063144666
1X1O_B_191,-566.900592079
1X1O_B_192,-568.026256116
1X1O_B_193,-566.238821149
1X1O_B_194,-566.121964835
1X1O_B_195,-565.767928719
1X1O_B_196,-565.352382396
1X1O_B_197,-566.81183647
1X1O_B_198,-566.81792596
1X1O_B_199,-566.18313428
1X1O_B_2,-566.470224084
1X1O_B_20,-566.260465417
1X1O_B_200,-565.606765365
1X1O_B_201,-567.351210595
1X1O_B_202,-566.528075921
1X1O_B_203,-566.399853379
1X1O_B_204,-565.28581041
1X1O_B_205,-566.036735321
1X1O_B_206,-565.46219087
1X1O_B_207,-566.334499519
1X1O_B_208,-566.961724953
1X1O_B_209,-565.990344656
1X1O_B_21,-567.263819686
1X1O_B_210,-566.921362993
1X1O_B_211,-567.897854082
1X1O_B_212,-566.102595238
1X1O_B_213,-565.956199082
1X1O_B_214,-566.126448974
1X1O_B_215,-565.468856605
1X1O_B_216,-568.11513755
1X1O_B_217,-566.902509095
1X1O_B_218,-565.989799214
1X1O_B_219,-566.002200228
1X1O_B_22,-567.097338283
1X1O_B_220,-565.892753976
1X1O_B_221,-566.145652772
1X1O_B_222,-566.751220842
1X1O_B_223,-567.869264914
1X1O_B_224,-567.603334581
1X1O_B_225,-565.820757702
1X1O_B_226,-566.388825328
1X1O_B_227,-566.771678958
1X1O_B_228,-565.498123033
1X1O_B_229,-566.452851135
1X1O_B_23,-567.359668773
1X1O_B_230,-567.932659458
1X1O_B_231,-565.8759883
1X1O_B_232,-566.015372781
1X1O_B_233,-565.612722115
1X1O_B_234,-567.081425548
1X1O_B_235,-566.433248239
1X1O_B_236,-567.281306596
1X1O_B_237,-565.864968947
1X1O_B_238,-567.241562169
1X1O_B_239,-566.135691407
1X1O_B_24,-566.362466572
1X1O_B_240,-567.015140032
1X1O_B_241,-566.495952388
1X1O_B_242,-565.835161255
1X1O_B_243,-567.555758081
1X1O_B_244,-566.706808269
1X1O_B_245,-566.832604753
1X1O_B_246,-568.200158465
1X1O_B_247,-566.112452503
1X1O_B_248,-566.115636443
1X1O_B_249,-566.616451327
1X1O_B_25,-566.796416646
1X1O_B_250,-565.759782291
1X1O_B_251,-567.17709159
1X1O_B_252,-567.621305361
1X1O_B_253,-565.191358051
1X1O_B_254,-565.812497205
1X1O_B_255,-568.304921805
1X1O_B_256,-567.64701656
1X1O_B_257,-567.04466163
1X1O_B_258,-566.543055807
1X1O_B_259,-564.965843028
1X1O_B_26,-565.999282435
1X1O_B_260,-567.535173057
1X1O_B_261,-567.134612056
1X1O_B_262,-566.61641212
1X1O_B_263,-567.279678221
1X1O_B_264,-566.405503636
1X1O_B_265,-566.342679754
1X1O_B_266,-565.829757846
1X1O_B_267,-566.201972439
1X1O_B_268,-566.580267834
1X1O_B_269,-566.375697387
1X1O_B_27,-566.997634134
1X1O_B_270,-565.530539555
1X1O_B_271,-566.990121927
1X1O_B_272,-571.285598603
1X1O_B_273,-566.290354398
1X1O_B_274,-565.695261799
1X1O_B_275,-566.515589656
1X1O_B_276,-565.580853353
1X1O_B_277,-567.542131148
1X1O_B_278,-566.627856848
1X1O_B_279,-566.613597008
1X1O_B_28,-565.923156343
1X1O_B_280,-566.946513225
1X1O_B_281,-566.046003452
1X1O_B_282,-566.12872476
1X1O_B_283,-567.483840408
1X1O_B_284,-568.026415353
1X1O_B_285,-566.413964928
1X1O_B_286,-565.750178046
1X1O_B_287,-567.948829386
1X1O_B_288,-566.944656676
1X1O_B_289,-566.789186603
1X1O_B_29,-568.355687232
1X1O_B_290,-566.357306912
1X1O_B_291,-566.88775672
1X1O_B_292,-566.534016014
1X1O_B_293,-566.708921145
1X1O_B_294,-566.464540217
1X1O_B_295,-565.290972
1X1O_B_296,-567.312948075
