PDB	Chain	mean_entropy_method_rosetta	mean_entropy_method_evolved	natural_cor_entropy_RSA_value
1B4T	A	1.53662857651	3.8267636011	0.552814063176
1CI0	A	1.86342828583	4.23785003504	0.475358105936
1EFV	B	1.7025569518	3.02986583414	0.177294761278
1G58	B	1.77400655452	3.51331451133	0.27215281954
1GV3	A	2.07809976078	4.3664290801	0.428085453371
1HUJ	A	1.9908112148	3.54491485071	0.516921206609
1HUR	A	1.51402528187	2.17369517171	0.374459478643
1IBS	A	1.62312784124	3.08550924313	0.207636762672
1JLW	A	1.94657954825	2.17556223589	0.282870923905
1KY2	A	1.59764518601	3.48863839457	0.470962068668
1KZL	A	1.49723362766	3.22874882022	0.406626233136
1M3U	A	1.72591046449	3.31418160808	0.485576224308
1MOZ	A	1.83609562926	2.47472357226	0.32933068055
1OKC	A	2.36583718247	1.7172919595	0.540295785157
1PV1	A	1.5341696768	3.0144315122	0.561152543471
1QMV	A	1.48481133146	4.03977513575	0.417660383066
1R6M	A	1.63091231005	3.02775287901	0.441566988786
1RII	A	1.64019457288	3.88703576022	0.493141185356
1V9S	B	1.71792864263	2.90440411411	0.200218173049
1W7W	B	1.72716903009	2.92953141857	0.417600918031
1X1O	B	1.54790914016	3.4170785022	0.3109787673
1XTD	A	1.67692217186	2.09912488542	-0.0774962657714
1YPI	A	1.74148526166	3.78173677004	0.364492460287
1YSB	A	1.75239782214	2.5975432836	0.400141120746
1ZNN	A	1.71977116972	3.36220899281	0.426050661972
1ZWK	A	1.64290971087	2.6207637359	0.308712828351
2A84	A	1.78512487899	4.19628406316	0.334091048329
2AIU	A	1.18964626744	2.35540652564	0.361455008127
2BCG	Y	1.58436361929	3.30307633415	0.421255273773
2BR9	A	2.19194247329	3.05992491854	0.384899079943
2CFE	A	1.5748732099	4.05678257421	0.482830871694
2CJM	C	1.68542087117	3.58179625978	0.432510755873
2CNV	A	1.84773025952	3.82487414748	0.458758845418
2ESF	A	1.99486145229	2.83638998884	0.357540292694
2EU8	A	1.8603641291	3.10506420233	0.58246235361
2FLI	A	1.62327262772	3.24903327333	0.366816310037
2G0N	B	1.96136182763	3.89159912942	0.472471561103
2GV5	D	2.11065858764	1.25348693688	0.318385379979
