PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	3.30705419467	2.17690410304	0.153744221137
1CI0	4.26011827964	3.23664595248	0.20495625429
1EFV	3.72806444339	2.5285041773	0.148961287126
1G58	3.58741640224	2.48006841733	0.110588086125
1GV3	3.54320221798	2.28241495681	0.148793603764
1HUJ	3.48125023686	2.41513617713	0.272812873617
1HUR	3.73622744455	3.59201356247	0.152403840715
1IBS	3.60468816408	2.4773013859	0.0907084506359
1JLW	3.88217661667	3.07396474373	0.226173202964
1KY2	3.30851820385	2.42333102743	0.288145037853
