PDB,Rosetta Score
1OKC_A_1,-582.148161878
1OKC_A_10,-584.108079385
1OKC_A_100,-580.92939469
1OKC_A_101,-584.340517152
1OKC_A_102,-580.80467566
1OKC_A_103,-584.317084262
1OKC_A_104,-581.994762376
1OKC_A_105,-584.88761016
1OKC_A_106,-584.20312608
1OKC_A_107,-578.387101577
1OKC_A_108,-584.274720349
1OKC_A_109,-579.885445565
1OKC_A_11,-583.484027378
1OKC_A_110,-583.0576145
1OKC_A_111,-579.728986416
1OKC_A_112,-582.405275552
1OKC_A_113,-579.355422804
1OKC_A_114,-582.052861051
1OKC_A_115,-581.719941944
1OKC_A_116,-583.938704874
1OKC_A_117,-583.991839916
1OKC_A_118,-577.164321213
1OKC_A_119,-580.931348624
1OKC_A_12,-584.497826548
1OKC_A_120,-581.970452462
1OKC_A_121,-581.237836369
1OKC_A_122,-584.694215321
1OKC_A_123,-584.495134584
1OKC_A_124,-583.611119308
1OKC_A_125,-584.536769394
1OKC_A_126,-578.980656205
1OKC_A_127,-584.159566196
1OKC_A_128,-582.091152799
1OKC_A_129,-578.409789107
1OKC_A_13,-584.773207651
1OKC_A_130,-579.876107462
1OKC_A_131,-580.321171582
1OKC_A_132,-577.074233925
1OKC_A_133,-582.2227449
1OKC_A_134,-579.889805117
1OKC_A_135,-581.14999095
1OKC_A_136,-581.023255368
1OKC_A_137,-580.784707308
1OKC_A_138,-581.023814135
1OKC_A_139,-584.593882249
1OKC_A_14,-582.378656872
1OKC_A_140,-582.37250104
1OKC_A_141,-580.093867407
1OKC_A_142,-584.481959886
1OKC_A_143,-584.076171593
1OKC_A_144,-581.819943516
1OKC_A_145,-584.333385638
1OKC_A_146,-580.504275491
1OKC_A_147,-584.014762861
1OKC_A_148,-581.871130121
1OKC_A_149,-583.136738434
1OKC_A_15,-583.596628736
1OKC_A_150,-584.668751586
1OKC_A_151,-585.146979737
1OKC_A_152,-583.960384594
1OKC_A_153,-581.637390245
1OKC_A_154,-581.038697646
1OKC_A_155,-583.298879725
1OKC_A_156,-579.462140908
1OKC_A_157,-583.631236261
1OKC_A_158,-584.30787974
1OKC_A_159,-581.167621292
1OKC_A_16,-583.417390623
1OKC_A_160,-579.943167236
1OKC_A_161,-584.399711045
1OKC_A_162,-584.169690476
1OKC_A_163,-580.9751947
1OKC_A_164,-582.474933052
1OKC_A_165,-580.821638696
1OKC_A_166,-582.422724768
1OKC_A_167,-581.876362732
1OKC_A_168,-584.368112277
1OKC_A_169,-578.625993197
1OKC_A_17,-582.711017784
1OKC_A_170,-583.675553363
1OKC_A_171,-581.787432946
1OKC_A_172,-584.452792807
1OKC_A_173,-583.578607044
1OKC_A_174,-582.756394376
1OKC_A_175,-581.371599755
1OKC_A_176,-576.399739205
1OKC_A_177,-581.383718241
1OKC_A_178,-581.872730064
1OKC_A_179,-581.580271686
1OKC_A_18,-584.148984484
1OKC_A_180,-581.980185521
1OKC_A_181,-584.402793585
1OKC_A_182,-584.704481228
1OKC_A_183,-584.498580835
1OKC_A_184,-584.117495006
1OKC_A_185,-584.827907242
1OKC_A_186,-581.649393529
1OKC_A_187,-580.921830737
1OKC_A_188,-584.139770278
1OKC_A_189,-584.787239342
1OKC_A_19,-582.554300087
1OKC_A_190,-584.179665084
1OKC_A_191,-580.144249608
1OKC_A_192,-578.78820932
1OKC_A_193,-583.961275531
1OKC_A_194,-579.949150629
1OKC_A_195,-581.749304988
1OKC_A_196,-584.075588533
1OKC_A_197,-583.811079396
1OKC_A_198,-579.643673406
1OKC_A_199,-584.579456045
1OKC_A_2,-583.894211299
1OKC_A_20,-584.360388346
1OKC_A_200,-581.824876229
1OKC_A_201,-580.44767829
1OKC_A_202,-583.07020645
1OKC_A_203,-583.305127307
1OKC_A_204,-584.980809317
1OKC_A_205,-584.183715088
1OKC_A_206,-579.074212968
1OKC_A_207,-581.682205587
1OKC_A_208,-581.782996428
1OKC_A_209,-583.586453709
1OKC_A_21,-578.016681485
1OKC_A_210,-577.050088538
1OKC_A_211,-583.702487916
1OKC_A_212,-582.775787179
1OKC_A_213,-584.180426984
1OKC_A_214,-582.907218955
1OKC_A_215,-580.79635172
1OKC_A_216,-579.470177103
1OKC_A_217,-584.092374422
1OKC_A_218,-579.881648241
1OKC_A_219,-584.058764231
1OKC_A_22,-581.316701792
1OKC_A_220,-585.699749268
1OKC_A_221,-583.758144737
1OKC_A_222,-583.539481767
1OKC_A_223,-580.140582004
1OKC_A_224,-583.916011025
1OKC_A_225,-583.891288635
1OKC_A_226,-579.401930862
1OKC_A_227,-583.889296166
1OKC_A_228,-584.152126415
1OKC_A_229,-584.30958937
1OKC_A_23,-581.841052941
1OKC_A_230,-584.388042603
1OKC_A_231,-583.123380337
1OKC_A_232,-584.34224795
1OKC_A_233,-584.603970314
1OKC_A_234,-579.343317289
1OKC_A_235,-584.350974132
1OKC_A_236,-584.034215031
1OKC_A_237,-583.079204164
1OKC_A_238,-584.371367798
1OKC_A_239,-577.316074567
1OKC_A_24,-579.304766448
1OKC_A_240,-583.349551456
1OKC_A_241,-580.739497153
1OKC_A_242,-581.0505609
1OKC_A_243,-583.995736404
1OKC_A_244,-584.124379253
1OKC_A_245,-581.149838879
1OKC_A_246,-583.759542245
1OKC_A_247,-583.10353718
1OKC_A_248,-584.781441232
1OKC_A_249,-583.988076775
1OKC_A_25,-583.961779876
1OKC_A_250,-580.657596955
1OKC_A_251,-583.803361419
1OKC_A_252,-579.014722196
1OKC_A_253,-584.700867059
1OKC_A_254,-583.469440206
1OKC_A_255,-583.814813918
1OKC_A_256,-584.066975984
1OKC_A_257,-583.173959097
1OKC_A_258,-582.130049457
1OKC_A_259,-584.207400325
1OKC_A_26,-580.349021646
1OKC_A_260,-580.488679409
1OKC_A_261,-584.179626693
1OKC_A_262,-580.406115251
1OKC_A_263,-583.704195307
1OKC_A_264,-583.815575302
1OKC_A_265,-578.731028334
1OKC_A_266,-578.969000927
1OKC_A_267,-583.331421142
1OKC_A_268,-578.364576915
1OKC_A_269,-583.525628339
1OKC_A_27,-584.202897419
1OKC_A_270,-583.153336646
1OKC_A_271,-583.620549569
1OKC_A_272,-584.021031001
1OKC_A_273,-580.484468288
1OKC_A_274,-579.236497517
1OKC_A_275,-580.889314003
1OKC_A_276,-580.975515268
1OKC_A_277,-581.512655378
1OKC_A_278,-576.338300938
1OKC_A_279,-579.439041826
1OKC_A_28,-583.729633363
1OKC_A_280,-584.480299295
1OKC_A_281,-584.808598689
1OKC_A_282,-578.610067598
1OKC_A_283,-582.628720507
1OKC_A_284,-583.98181896
1OKC_A_285,-583.827618561
1OKC_A_286,-579.560131042
1OKC_A_287,-583.560914261
1OKC_A_288,-584.716506996
1OKC_A_289,-584.03888418
1OKC_A_29,-579.511408794
1OKC_A_290,-581.747936398
1OKC_A_291,-584.014089354
1OKC_A_292,-581.223028441
1OKC_A_293,-580.691685115
1OKC_A_294,-580.322872711
1OKC_A_295,-583.579679546
1OKC_A_296,-580.751555252
1OKC_A_297,-584.006094386
1OKC_A_298,-580.252593722
1OKC_A_299,-584.027022674
1OKC_A_3,-584.346609913
1OKC_A_30,-579.77709718
1OKC_A_300,-584.144019572
1OKC_A_301,-580.887100733
1OKC_A_302,-580.554806618
1OKC_A_303,-581.108143022
1OKC_A_304,-583.436545452
1OKC_A_305,-584.227703115
1OKC_A_306,-581.960480744
1OKC_A_307,-585.095044538
1OKC_A_308,-579.735429929
1OKC_A_309,-580.195278078
1OKC_A_31,-577.738015729
1OKC_A_310,-584.605892603
1OKC_A_311,-578.958646553
1OKC_A_312,-583.751396965
1OKC_A_313,-576.834282643
1OKC_A_314,-584.364012323
1OKC_A_315,-584.087715935
1OKC_A_316,-584.107952553
1OKC_A_317,-581.435422331
1OKC_A_318,-583.897365452
1OKC_A_319,-583.533940208
1OKC_A_32,-584.944852946
1OKC_A_320,-584.929112955
1OKC_A_321,-583.438898399
1OKC_A_322,-584.986723819
1OKC_A_323,-582.118642198
1OKC_A_324,-582.386766546
1OKC_A_325,-583.091844996
1OKC_A_326,-581.111361994
1OKC_A_327,-578.617856921
1OKC_A_328,-584.255210282
1OKC_A_329,-582.452166036
1OKC_A_33,-580.549812493
1OKC_A_330,-577.237490104
1OKC_A_331,-582.176904695
1OKC_A_332,-583.737510388
1OKC_A_333,-581.791959282
1OKC_A_334,-582.783697351
1OKC_A_335,-581.553108113
1OKC_A_336,-584.400143947
