PDB	mean_entropy_method_rosetta	mean_entropy_method_evolved	mean_entropy_split_natural
1B4T	1.66177292129	5.79653324628	5.11955866238
1CI0	1.90453122381	5.91063250342	5.41052556398
1EFV	1.82292386456	4.36044548368	3.02818660639
1G58	1.88252362322	5.02634467119	4.29642449811
1GV3	2.15659295975	7.24625045882	4.59552118643
1HUJ	1.91557311009	5.53722725934	4.96658534744
1HUR	1.62853195335	3.10518594678	4.14509136539
1IBS	1.77744505961	4.80799271996	4.65538474508
1JLW	2.00202005504	3.0793840889	3.35456000243
1KY2	1.77579026057	5.29921818012	4.38067893623
1KZL	1.51875841611	4.82427231739	4.99513985309
1M3U	1.73346148473	5.46676389939	4.96096015353
1MOZ	2.09227936914	3.54267535587	4.05342827437
1OKC	2.31028531438	2.09695447954	3.96772892143
1PV1	1.58673126985	4.99662644866	5.55440813872
1QMV	1.52996991203	5.93309557267	3.93385766174
1R6M	1.73740384064	4.55356450816	5.1398928868
1RII	1.72377748717	6.18455003837	4.72657365094
1V9S	1.85428271242	4.12976569967	3.81572142098
1W7W	1.73330943598	4.49814956326	4.55273239248
1X1O	1.69113796991	5.15616034672	5.34740570902
1XTD	1.79157974051	2.47443721563	2.76569563266
1YPI	1.76055388039	6.11653790028	4.84907705523
1YSB	1.74009599876	3.98665400608	3.98919961697
1ZNN	1.71707490398	5.06200631466	3.82321591162
1ZWK	1.61508393849	3.73289588988	4.00075939242
2A84	1.74058671716	6.58424599054	5.46233817988
2AIU	1.19982109579	3.09811707742	3.46487988432
2BCG	1.63866888536	4.62019909413	5.68710069208
2BR9	2.296790849	4.36528097744	3.9190081858
2CFE	1.65486591117	6.28864042943	4.24679229001
2CJM	1.638312911	5.5893642886	4.94527267889
2CNV	1.85192778087	6.05183953694	5.11365173302
2ESF	2.17760698961	4.08898966063	4.98782901289
2EU8	1.91584868301	4.28757862066	4.6981575678
2FLI	1.65263692963	5.31754972296	5.19431449096
2G0N	1.97819342812	5.53768330447	4.68106682665
2GV5	2.12712265055	1.35236745248	3.41123912598
