PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	1.67558611569	0.406448240047	0.0644623019356
1CI0	1.53771061676	0.440819500039	0.0988379109283
1EFV	1.02261009925	0.577477432618	0.0547483467872
1G58	1.20060230488	0.420593435057	0.057380004156
1GV3	1.15050046644	0.396672405836	0.0859540431217
1HUJ	1.63381150641	0.547758522821	0.137601553414
1HUR	1.34926466435	0.593905474866	0.0688592021957
1IBS	1.457492043	0.483391455473	0.0434293928468
1JLW	1.02106994649	0.716562488245	0.124792966154
1KY2	1.32039823889	0.417908335707	0.113748131541
1KZL	1.6996231794	0.599430378077	0.106273538362
1M3U	1.45249950319	0.423887374736	0.0859301550543
1MOZ	1.27051853235	0.624108434818	0.100600036197
1OKC	1.27234687536	0.889624458188	0.102226318004
1PV1	1.99063110953	0.494024692533	0.0987772657664
1QMV	1.30487946322	0.530666076216	0.0627670035028
1R6M	1.59365074489	0.662849277799	0.0431282346961
1RII	1.36296728519	0.507145742459	0.0633875994381
1V9S	1.23563132766	0.61103947579	0.0449323283614
1W7W	1.42498992448	0.442026541618	0.058170156734
1X1O	1.66559239355	0.71102136627	0.0656864886521
1XTD	0.801606117921	0.619045484044	0.206308554802
1YPI	1.44075296735	0.38429380275	0.0683622586836
1YSB	1.23641573911	0.614968241943	0.227101129526
1ZNN	1.06729274817	0.465540248198	0.0629496765272
1ZWK	1.14182367867	0.522504366921	0.0855508101786
2A84	1.57633212217	0.413103738435	0.0983020647997
2AIU	1.28525999398	0.496690591437	0.102349193633
2BCG	1.69768286717	0.549202184598	0.0678714213009
2BR9	1.0371496015	0.634794372694	0.0606284599155
2CFE	1.33699510818	0.427631341337	0.0432124718458
2CJM	1.58541383687	0.411502468893	0.0784615976036
2CNV	1.72001907475	0.515721834385	0.0762421330995
2ESF	1.18132938594	0.611345265073	0.0722820662266
2EU8	1.33091357281	0.597169806372	0.0980804643154
2FLI	1.457355669	0.427276246423	0.0427389675514
2G0N	1.22355145998	0.439510481067	0.0797379478379
2GV5	1.11235804834	1.70712426309	0.109387663101
