PDB,Rosetta Score
2FLI_A_1,-422.025188152
2FLI_A_10,-424.044842075
2FLI_A_100,-423.582458992
2FLI_A_101,-423.331566738
2FLI_A_102,-422.501206038
2FLI_A_103,-422.762144077
2FLI_A_104,-422.028397028
2FLI_A_105,-423.126616803
2FLI_A_106,-422.462284842
2FLI_A_107,-422.26065476
2FLI_A_108,-422.045846237
2FLI_A_109,-421.757990582
2FLI_A_11,-421.57418177
2FLI_A_110,-423.194270957
2FLI_A_111,-422.449800298
2FLI_A_112,-421.779874059
2FLI_A_113,-423.953512316
2FLI_A_114,-421.985869765
2FLI_A_115,-422.395604164
2FLI_A_116,-422.514281745
2FLI_A_117,-423.451852205
2FLI_A_118,-422.390825115
2FLI_A_119,-421.29317098
2FLI_A_12,-423.116951358
2FLI_A_120,-422.43433592
2FLI_A_121,-422.21354373
2FLI_A_122,-422.339737182
2FLI_A_123,-422.11758399
2FLI_A_124,-423.210518375
2FLI_A_125,-422.477721303
2FLI_A_126,-422.956487195
2FLI_A_127,-424.264249694
2FLI_A_128,-421.933282728
2FLI_A_129,-422.513991629
2FLI_A_13,-422.49187237
2FLI_A_130,-422.954169949
2FLI_A_131,-424.893316018
2FLI_A_132,-422.165036759
2FLI_A_133,-422.353165732
2FLI_A_134,-422.813801021
2FLI_A_135,-423.223761002
2FLI_A_136,-422.722437025
2FLI_A_137,-423.082777835
2FLI_A_138,-423.131146795
2FLI_A_139,-422.38011382
2FLI_A_14,-421.628622588
2FLI_A_140,-423.167923437
2FLI_A_141,-422.231653858
2FLI_A_142,-422.792504355
2FLI_A_143,-422.247504459
2FLI_A_144,-421.921753757
2FLI_A_145,-422.678117984
2FLI_A_146,-422.808587009
2FLI_A_147,-423.188297499
2FLI_A_148,-422.432632184
2FLI_A_149,-421.782577449
2FLI_A_15,-422.956771864
2FLI_A_150,-422.601916717
2FLI_A_151,-423.169371664
2FLI_A_152,-422.66710583
2FLI_A_153,-421.891865323
2FLI_A_154,-421.840827579
2FLI_A_155,-422.445091444
2FLI_A_156,-421.735782592
2FLI_A_157,-422.976490458
2FLI_A_158,-421.704248821
2FLI_A_159,-423.608838961
2FLI_A_16,-422.43888628
2FLI_A_160,-423.285358408
2FLI_A_161,-422.353248911
2FLI_A_162,-422.668463855
2FLI_A_163,-422.251663436
2FLI_A_164,-423.114714199
2FLI_A_165,-422.066300383
2FLI_A_166,-422.550147982
2FLI_A_167,-422.333242255
2FLI_A_168,-421.536646654
2FLI_A_169,-423.050996665
2FLI_A_17,-423.094626778
2FLI_A_170,-421.790599648
2FLI_A_171,-423.422058522
2FLI_A_172,-422.369360396
2FLI_A_173,-422.547081807
2FLI_A_174,-422.519389875
2FLI_A_175,-422.858546583
2FLI_A_176,-422.174174008
2FLI_A_177,-422.290878045
2FLI_A_178,-422.030622507
2FLI_A_179,-422.771770114
2FLI_A_18,-424.390772546
2FLI_A_180,-423.070082012
2FLI_A_181,-421.979028304
2FLI_A_182,-422.285343467
2FLI_A_183,-421.396755156
2FLI_A_184,-422.869973575
2FLI_A_185,-423.475502474
2FLI_A_186,-423.082847973
2FLI_A_187,-421.702654198
2FLI_A_188,-422.72694286
2FLI_A_189,-422.407108962
2FLI_A_19,-422.711130839
2FLI_A_190,-421.533269901
2FLI_A_191,-423.151245134
2FLI_A_192,-422.332686602
2FLI_A_193,-423.13492868
2FLI_A_194,-422.550780898
2FLI_A_195,-422.079228248
2FLI_A_196,-421.778440807
2FLI_A_197,-423.470763626
2FLI_A_198,-422.540086964
2FLI_A_199,-423.43245685
2FLI_A_2,-422.092608575
2FLI_A_20,-422.408670447
2FLI_A_200,-422.916994031
2FLI_A_201,-421.636213107
2FLI_A_202,-421.862333852
2FLI_A_203,-423.788797083
2FLI_A_204,-422.530284367
2FLI_A_205,-422.633853972
2FLI_A_206,-422.51109542
2FLI_A_207,-423.455592419
2FLI_A_208,-421.908369728
2FLI_A_209,-422.433808661
2FLI_A_21,-423.259244168
2FLI_A_210,-422.881087682
2FLI_A_211,-423.268609795
2FLI_A_212,-421.665686446
2FLI_A_213,-424.860634139
2FLI_A_214,-424.838469416
2FLI_A_215,-421.764234046
2FLI_A_216,-422.634874929
2FLI_A_217,-422.338577348
2FLI_A_218,-421.37890981
2FLI_A_219,-423.447742793
2FLI_A_22,-422.282795177
2FLI_A_220,-422.057360742
2FLI_A_221,-422.501700978
2FLI_A_222,-422.364970931
2FLI_A_223,-422.679072484
2FLI_A_224,-423.419928149
2FLI_A_225,-421.924210837
2FLI_A_226,-422.075469922
2FLI_A_227,-422.239698765
2FLI_A_228,-423.005260279
2FLI_A_229,-422.362141119
2FLI_A_23,-423.272721164
2FLI_A_230,-423.22114779
2FLI_A_231,-422.469086275
2FLI_A_232,-423.135054457
2FLI_A_233,-423.199955238
2FLI_A_234,-423.334816022
2FLI_A_235,-423.090752795
2FLI_A_236,-422.874526614
2FLI_A_237,-421.684810525
2FLI_A_238,-422.095039434
2FLI_A_239,-422.635834619
2FLI_A_24,-422.178731333
2FLI_A_240,-422.808201369
2FLI_A_241,-423.042160427
2FLI_A_242,-424.326194843
2FLI_A_243,-423.694256358
2FLI_A_244,-422.507385131
2FLI_A_245,-423.771579343
2FLI_A_246,-422.309263528
2FLI_A_247,-421.915179467
2FLI_A_248,-422.861385501
2FLI_A_249,-422.740657744
2FLI_A_25,-422.376971623
2FLI_A_250,-422.662574893
2FLI_A_251,-421.977218964
2FLI_A_252,-422.425577961
2FLI_A_253,-422.029045118
2FLI_A_254,-422.873269563
2FLI_A_255,-422.014740924
2FLI_A_256,-422.851949191
2FLI_A_257,-424.24282765
2FLI_A_258,-423.203144879
2FLI_A_259,-421.940249126
2FLI_A_26,-422.821615551
2FLI_A_260,-422.164743355
2FLI_A_261,-422.480975809
2FLI_A_262,-421.924741697
2FLI_A_263,-423.001218467
2FLI_A_264,-422.623832657
2FLI_A_265,-422.811692812
2FLI_A_266,-422.561084725
2FLI_A_267,-422.690588223
2FLI_A_268,-423.022882124
2FLI_A_269,-422.853665398
2FLI_A_27,-423.408082019
2FLI_A_270,-422.356400959
2FLI_A_271,-422.596854633
2FLI_A_272,-422.103023376
2FLI_A_273,-423.292128411
2FLI_A_274,-422.071928304
2FLI_A_275,-421.588510504
2FLI_A_276,-422.285074855
2FLI_A_277,-422.831953084
2FLI_A_278,-421.601460591
2FLI_A_279,-421.697401813
2FLI_A_28,-422.235260423
2FLI_A_280,-421.769223109
2FLI_A_281,-423.687124189
2FLI_A_282,-422.764552119
2FLI_A_283,-423.461743501
2FLI_A_284,-422.127932981
2FLI_A_285,-422.093608612
2FLI_A_286,-423.936649356
2FLI_A_287,-422.191975315
2FLI_A_288,-421.259044041
2FLI_A_289,-423.619921526
2FLI_A_29,-422.009073767
2FLI_A_290,-423.925963128
2FLI_A_291,-421.945966436
2FLI_A_292,-422.367755051
2FLI_A_293,-421.713795367
2FLI_A_294,-422.204926321
2FLI_A_295,-422.473244408
2FLI_A_296,-423.675722021
2FLI_A_297,-422.665164503
2FLI_A_298,-422.850380783
2FLI_A_299,-422.559721093
2FLI_A_3,-422.921772613
2FLI_A_30,-421.993109421
2FLI_A_300,-422.690935015
2FLI_A_301,-422.434356954
2FLI_A_302,-422.881489437
2FLI_A_303,-422.198697734
2FLI_A_304,-423.770168873
2FLI_A_305,-423.96560824
2FLI_A_306,-422.551083707
2FLI_A_307,-422.883682799
2FLI_A_308,-422.083128423
2FLI_A_309,-423.244197586
2FLI_A_31,-422.617456575
2FLI_A_310,-424.601860016
2FLI_A_311,-422.219307012
2FLI_A_312,-421.689152201
2FLI_A_313,-422.396685928
2FLI_A_314,-421.783232262
2FLI_A_315,-422.806640404
2FLI_A_316,-422.23121545
2FLI_A_317,-423.449664215
2FLI_A_318,-423.215125589
2FLI_A_319,-422.354332561
2FLI_A_32,-422.523430552
2FLI_A_320,-424.4601504
2FLI_A_321,-422.214632164
2FLI_A_322,-422.755951032
2FLI_A_323,-421.73761928
2FLI_A_324,-423.521656307
2FLI_A_325,-423.943953335
2FLI_A_326,-422.343407006
2FLI_A_327,-421.401539945
2FLI_A_328,-421.990615137
2FLI_A_329,-422.953615311
2FLI_A_33,-423.315143879
2FLI_A_330,-423.576452783
2FLI_A_331,-423.082314565
2FLI_A_332,-423.163760034
2FLI_A_333,-423.815362827
2FLI_A_334,-421.724435411
2FLI_A_335,-422.903578631
2FLI_A_336,-422.824552426
2FLI_A_337,-422.709943283
2FLI_A_338,-422.445965972
2FLI_A_339,-422.76583306
2FLI_A_34,-422.867611682
2FLI_A_340,-422.078749755
2FLI_A_341,-421.675156087
2FLI_A_342,-421.762942007
2FLI_A_343,-422.761569297
2FLI_A_344,-421.871152854
2FLI_A_345,-423.36666026
2FLI_A_346,-422.360594094
2FLI_A_347,-422.792095849
2FLI_A_348,-423.065327005
2FLI_A_349,-423.214987538
2FLI_A_35,-423.531220696
2FLI_A_350,-423.512506919
2FLI_A_351,-422.604507786
2FLI_A_352,-423.289340032
