PDB,Rosetta Score
1ZWK_A_1,-306.621758091
1ZWK_A_10,-306.849338244
1ZWK_A_100,-306.421229756
1ZWK_A_101,-305.68010888
1ZWK_A_102,-307.123144855
1ZWK_A_103,-306.677201259
1ZWK_A_104,-308.577845671
1ZWK_A_105,-307.963882587
1ZWK_A_106,-307.427972018
1ZWK_A_107,-306.921668628
1ZWK_A_108,-308.200094987
1ZWK_A_109,-306.550478608
1ZWK_A_11,-307.423385287
1ZWK_A_110,-307.186394123
1ZWK_A_111,-307.14878334
1ZWK_A_112,-306.44696897
1ZWK_A_113,-308.85822741
1ZWK_A_114,-307.596674539
1ZWK_A_115,-306.652492472
1ZWK_A_116,-306.409610168
1ZWK_A_117,-307.140476289
1ZWK_A_118,-307.896359514
1ZWK_A_119,-307.396515883
1ZWK_A_12,-308.13743485
1ZWK_A_120,-308.377695792
1ZWK_A_121,-308.015357625
1ZWK_A_122,-307.848016289
1ZWK_A_123,-306.854628467
1ZWK_A_124,-306.986935549
1ZWK_A_125,-306.618042635
1ZWK_A_126,-307.054762541
1ZWK_A_127,-306.500487609
1ZWK_A_128,-306.672124638
1ZWK_A_129,-308.186767142
1ZWK_A_13,-307.323502402
1ZWK_A_130,-307.082214221
1ZWK_A_131,-306.954227775
1ZWK_A_132,-306.529914998
1ZWK_A_133,-306.968916872
1ZWK_A_134,-307.304399238
1ZWK_A_135,-306.551582814
1ZWK_A_136,-306.809761206
1ZWK_A_137,-307.210786825
1ZWK_A_138,-307.004737253
1ZWK_A_139,-306.665336888
1ZWK_A_14,-307.194418947
1ZWK_A_140,-306.677222704
1ZWK_A_141,-307.706263045
1ZWK_A_142,-308.093653986
1ZWK_A_143,-308.091659206
1ZWK_A_144,-306.747940466
1ZWK_A_145,-307.099389017
1ZWK_A_146,-306.652821339
1ZWK_A_147,-307.475999248
1ZWK_A_148,-307.014707286
1ZWK_A_149,-306.377293466
1ZWK_A_15,-306.673258533
1ZWK_A_150,-308.712245276
1ZWK_A_151,-306.726806122
1ZWK_A_152,-306.709014323
1ZWK_A_153,-306.968429524
1ZWK_A_154,-306.531911315
1ZWK_A_155,-307.387608442
1ZWK_A_156,-307.337615753
1ZWK_A_157,-307.017543675
1ZWK_A_158,-305.982212418
1ZWK_A_159,-307.304911829
1ZWK_A_16,-307.644256607
1ZWK_A_160,-306.837700935
1ZWK_A_161,-306.561646351
1ZWK_A_162,-306.434399213
1ZWK_A_163,-306.119510355
1ZWK_A_164,-307.234836908
1ZWK_A_165,-307.045560316
1ZWK_A_166,-306.982137254
1ZWK_A_167,-307.052891842
1ZWK_A_168,-308.471765144
1ZWK_A_169,-306.780956562
1ZWK_A_17,-306.346278126
1ZWK_A_170,-306.668966596
1ZWK_A_171,-306.403823943
1ZWK_A_172,-306.3940169
1ZWK_A_173,-307.916545393
1ZWK_A_174,-306.433524925
1ZWK_A_175,-306.708068259
1ZWK_A_176,-308.078876657
1ZWK_A_177,-306.353688873
1ZWK_A_178,-307.416239643
1ZWK_A_179,-306.356735114
1ZWK_A_18,-307.205574345
1ZWK_A_180,-306.928018781
1ZWK_A_181,-307.338568218
1ZWK_A_182,-308.426812387
1ZWK_A_183,-305.949439598
1ZWK_A_184,-305.986120927
1ZWK_A_185,-307.240555682
1ZWK_A_186,-309.351502518
1ZWK_A_187,-306.684377498
1ZWK_A_188,-306.69930015
1ZWK_A_189,-306.013541378
1ZWK_A_19,-306.966570051
1ZWK_A_190,-306.401434624
1ZWK_A_191,-307.745044038
1ZWK_A_192,-306.494433416
1ZWK_A_193,-306.869393372
1ZWK_A_194,-307.07507478
1ZWK_A_195,-307.788459321
1ZWK_A_196,-307.604052517
1ZWK_A_197,-306.4107745
1ZWK_A_198,-307.398909804
1ZWK_A_199,-307.004696392
1ZWK_A_2,-307.032731405
1ZWK_A_20,-307.04686259
1ZWK_A_200,-307.27032638
1ZWK_A_201,-306.700834612
1ZWK_A_202,-308.01148217
1ZWK_A_203,-307.148361654
1ZWK_A_204,-307.006784925
1ZWK_A_205,-306.854979065
1ZWK_A_206,-306.919732493
1ZWK_A_207,-306.936768716
1ZWK_A_208,-306.69339716
1ZWK_A_209,-306.462504725
1ZWK_A_21,-306.833022512
1ZWK_A_210,-307.252407308
1ZWK_A_211,-306.086801698
1ZWK_A_212,-306.960263739
1ZWK_A_213,-307.104195401
1ZWK_A_214,-307.200461024
1ZWK_A_215,-307.527406543
1ZWK_A_216,-307.124261049
1ZWK_A_217,-307.330351165
1ZWK_A_218,-306.931145575
1ZWK_A_219,-307.543223798
1ZWK_A_22,-306.629449858
1ZWK_A_220,-306.994225802
1ZWK_A_221,-308.504781231
1ZWK_A_222,-307.401448696
1ZWK_A_223,-306.043076052
1ZWK_A_224,-307.196681472
1ZWK_A_225,-307.313309005
1ZWK_A_226,-306.941714693
1ZWK_A_227,-308.833691204
1ZWK_A_228,-306.367276269
1ZWK_A_229,-306.80995486
1ZWK_A_23,-307.022045417
1ZWK_A_230,-307.317029229
1ZWK_A_231,-306.731292732
1ZWK_A_232,-307.241668646
1ZWK_A_233,-306.63109988
1ZWK_A_234,-307.757487763
1ZWK_A_235,-306.389229082
1ZWK_A_236,-306.408638391
1ZWK_A_237,-307.601034578
1ZWK_A_238,-306.520714311
1ZWK_A_239,-308.21928805
1ZWK_A_24,-307.531436877
1ZWK_A_240,-307.320027051
1ZWK_A_241,-306.142992251
