PDB,Rosetta Score
1MOZ_A_1,-318.867508887
1MOZ_A_10,-318.395588112
1MOZ_A_100,-318.875307057
1MOZ_A_101,-318.643641753
1MOZ_A_102,-318.920576495
1MOZ_A_103,-319.194410935
1MOZ_A_104,-319.450050394
1MOZ_A_105,-319.717822804
1MOZ_A_106,-318.557006397
1MOZ_A_107,-320.044072576
1MOZ_A_108,-318.649730931
1MOZ_A_109,-319.575350168
1MOZ_A_11,-318.507917384
1MOZ_A_110,-319.23782825
1MOZ_A_111,-318.611283831
1MOZ_A_112,-318.879087736
1MOZ_A_113,-319.559650576
1MOZ_A_114,-318.971930104
1MOZ_A_115,-319.621099719
1MOZ_A_116,-320.19090029
1MOZ_A_117,-320.131909787
1MOZ_A_118,-318.947710373
1MOZ_A_119,-319.525957056
1MOZ_A_12,-319.417811947
1MOZ_A_120,-320.18714705
1MOZ_A_121,-319.076486557
1MOZ_A_122,-318.848703637
1MOZ_A_123,-319.45291185
1MOZ_A_124,-320.223707578
1MOZ_A_125,-319.065425483
1MOZ_A_126,-318.9313224
1MOZ_A_127,-318.867950391
1MOZ_A_128,-320.254984295
1MOZ_A_129,-318.885471062
1MOZ_A_13,-318.575111062
1MOZ_A_130,-318.363439176
1MOZ_A_131,-318.839402203
1MOZ_A_132,-319.079247262
1MOZ_A_133,-320.183650804
1MOZ_A_134,-319.680651422
1MOZ_A_135,-318.940720112
1MOZ_A_136,-319.610068286
1MOZ_A_137,-319.84844703
1MOZ_A_138,-318.215415108
1MOZ_A_139,-319.503009162
1MOZ_A_14,-319.39706937
1MOZ_A_140,-319.796483622
1MOZ_A_141,-318.697941118
1MOZ_A_142,-319.473431725
1MOZ_A_143,-318.353958375
1MOZ_A_144,-318.617770654
1MOZ_A_145,-320.57333941
1MOZ_A_146,-319.152023478
1MOZ_A_147,-319.424031116
1MOZ_A_148,-320.007280078
1MOZ_A_149,-320.711097822
1MOZ_A_15,-318.652223818
1MOZ_A_150,-318.832364884
1MOZ_A_151,-319.064843727
1MOZ_A_152,-320.063150791
1MOZ_A_153,-319.291433661
1MOZ_A_154,-319.517085708
1MOZ_A_155,-319.704653182
1MOZ_A_156,-319.549912353
1MOZ_A_157,-320.008638127
1MOZ_A_158,-318.774937095
1MOZ_A_159,-318.53232482
1MOZ_A_16,-318.517734537
1MOZ_A_160,-319.332791895
1MOZ_A_161,-319.188065679
1MOZ_A_162,-320.019732047
1MOZ_A_163,-319.009473158
1MOZ_A_164,-319.20776615
1MOZ_A_165,-318.96582165
1MOZ_A_166,-319.032116879
1MOZ_A_167,-318.57093987
1MOZ_A_168,-318.787157628
1MOZ_A_169,-318.70743379
1MOZ_A_17,-319.841390114
1MOZ_A_170,-318.781663728
1MOZ_A_171,-318.732966855
1MOZ_A_172,-318.568955636
1MOZ_A_173,-319.405772841
1MOZ_A_174,-318.910825607
1MOZ_A_175,-319.113909085
1MOZ_A_176,-320.539686045
1MOZ_A_177,-318.744397253
1MOZ_A_178,-319.382492968
1MOZ_A_179,-318.824621213
1MOZ_A_18,-319.239355384
1MOZ_A_180,-318.973471253
1MOZ_A_181,-319.341622937
